Wavelength (nm),Reflectance (AU)
901.663021,0.084572
905.592173,0.084569
909.516909,0.085120
913.437229,0.085113
917.353134,0.084069
921.264622,0.084466
925.171696,0.084039
929.074353,0.084394
932.972595,0.084715
938.163382,0.084816
942.051321,0.084848
945.934844,0.085633
949.813951,0.085399
953.688643,0.085669
957.558919,0.085449
961.424779,0.085334
965.286223,0.084773
969.143252,0.084148
972.995866,0.083393
978.125814,0.082636
981.968124,0.081686
985.806019,0.080923
989.639497,0.080803
993.468560,0.080282
997.293207,0.080441
1001.113439,0.080052
1004.929255,0.080587
1008.740655,0.080743
1012.547640,0.080921
1016.350208,0.081165
1021.413431,0.081772
1025.205697,0.082519
1028.993547,0.082890
1032.776981,0.083327
1036.556000,0.083521
1040.330603,0.083884
1044.100790,0.084599
1047.866561,0.084029
1051.627917,0.084523
1055.384857,0.084961
1060.387242,0.084927
1064.133879,0.085067
1067.876100,0.085440
1071.613906,0.085607
1075.347296,0.085647
1079.076270,0.085908
1082.800829,0.085771
1086.520972,0.085804
1090.236699,0.086036
1093.948010,0.085820
1097.654906,0.085733
1102.590565,0.086021
1106.287158,0.085608
1109.979334,0.085713
1113.667096,0.085504
1117.350441,0.086065
1121.029371,0.085333
1124.703885,0.085388
1128.373984,0.084524
1132.039667,0.083754
1135.700934,0.082835
1140.575755,0.081509
1144.226718,0.080251
1147.873267,0.078837
1151.515399,0.077033
1155.153116,0.075379
1158.786417,0.073733
1162.415303,0.071892
1166.039773,0.070847
1169.659827,0.069056
1173.275465,0.068023
1176.886688,0.066815
1181.694783,0.065105
1185.295703,0.064418
1188.892206,0.063578
1192.484295,0.062690
1196.071967,0.062108
1199.655224,0.061445
1203.234065,0.060987
1206.808491,0.060823
1210.378500,0.060829
1213.944094,0.060842
1218.691351,0.061370
1222.246642,0.061818
1225.797517,0.062430
1229.343977,0.062606
1232.886021,0.063276
1236.423649,0.063422
1239.956861,0.063740
1243.485658,0.063942
1247.010039,0.064033
1250.530005,0.064306
1254.045554,0.064390
1258.726085,0.064602
1262.231332,0.064628
1265.732163,0.064876
1269.228578,0.064857
1272.720577,0.065198
1276.208161,0.065315
1279.691329,0.065476
1283.170082,0.065710
1286.644418,0.066087
1290.114340,0.066093
1294.734032,0.066369
1298.193650,0.066183
1301.648852,0.066139
1305.099639,0.065999
1308.546010,0.065711
1311.987965,0.065555
1315.425504,0.064915
1318.858628,0.063940
1322.287336,0.063329
1325.711628,0.062287
1329.131505,0.061145
1333.684472,0.059575
1337.094045,0.058175
1340.499203,0.056642
1343.899945,0.055442
1347.296272,0.053649
1350.688183,0.051753
1354.075678,0.050057
1357.458757,0.048744
1360.837421,0.047300
1364.211669,0.046203
1367.581501,0.044816
1372.067742,0.043728
1375.427272,0.043023
1378.782385,0.041566
1382.133083,0.040332
1385.479365,0.038985
1388.821231,0.037147
1392.158682,0.034894
1395.491717,0.032530
1398.820337,0.029627
1402.144540,0.026731
1406.569943,0.023211
1409.883843,0.020588
1413.193328,0.018479
1416.498397,0.016474
1419.799051,0.015367
1423.095289,0.014285
1426.387111,0.013191
1429.674517,0.012647
1432.957508,0.012421
1436.236083,0.011884
1439.510242,0.011730
1443.868919,0.011621
1447.132775,0.011257
1450.392216,0.011235
1453.647240,0.011181
1456.897849,0.011087
1460.144043,0.010729
1463.385821,0.011130
1466.623183,0.011055
1469.856129,0.010974
1473.084660,0.010930
1477.382498,0.010987
1480.600726,0.011185
1483.814538,0.011112
1487.023934,0.011093
1490.228914,0.011062
1493.429479,0.011302
1496.625628,0.011222
1499.817361,0.011306
1503.004679,0.011351
1506.187581,0.011253
1509.366067,0.011408
1513.597180,0.011556
1516.765363,0.011659
1519.929131,0.011595
1523.088482,0.011767
1526.243418,0.011703
1529.393939,0.011676
1532.540044,0.011708
1535.681733,0.011758
1538.819006,0.011856
1541.951864,0.011674
1546.122138,0.011858
1549.244693,0.011814
1552.362831,0.011735
1555.476554,0.012021
1558.585862,0.011640
1561.690753,0.011744
1564.791230,0.011874
1567.887290,0.011694
1570.978935,0.011791
1574.066163,0.011895
1577.148977,0.011842
1581.252526,0.011765
1584.325036,0.012117
1587.393130,0.012066
1590.456809,0.012141
1593.516072,0.012161
1596.570919,0.012200
1599.621351,0.012573
1602.667367,0.012050
1605.708967,0.012328
1608.746152,0.012892
1612.788862,0.012811
1615.815744,0.013059
1618.838209,0.013501
1621.856260,0.013141
1624.869894,0.013586
1627.879113,0.013694
1630.883915,0.013954
1633.884303,0.013585
1636.880274,0.013846
1639.871830,0.014372
1642.858971,0.014241
1646.834956,0.014924
1649.811793,0.014776
1652.784214,0.015207
1655.752220,0.015568
1658.715810,0.015632
1661.674984,0.016500
1664.629742,0.016942
1667.580085,0.017730
1670.526013,0.018754
1673.467524,0.020847
1677.382671,0.023270
1680.313879,0.024494
1683.240672,0.025047
1686.163049,0.025333
1689.081010,0.024967
1691.994556,0.027058
1694.903686,0.023463
1697.808400,0.027338
1700.708699,0.024296
