Wavelength (nm),Reflectance (AU)
901.663021,0.114406
905.592173,0.112681
909.516909,0.113491
913.437229,0.114289
917.353134,0.111855
921.264622,0.113102
925.171696,0.111834
929.074353,0.112411
932.972595,0.113108
938.163382,0.113037
942.051321,0.112592
945.934844,0.112476
949.813951,0.112617
953.688643,0.112091
957.558919,0.111299
961.424779,0.110511
965.286223,0.109685
969.143252,0.108337
972.995866,0.107120
978.125814,0.106043
981.968124,0.104725
985.806019,0.103659
989.639497,0.103190
993.468560,0.102712
997.293207,0.102335
1001.113439,0.102581
1004.929255,0.102562
1008.740655,0.102576
1012.547640,0.102608
1016.350208,0.103394
1021.413431,0.103490
1025.205697,0.104427
1028.993547,0.104823
1032.776981,0.105084
1036.556000,0.105694
1040.330603,0.105958
1044.100790,0.106557
1047.866561,0.106874
1051.627917,0.107396
1055.384857,0.107510
1060.387242,0.108156
1064.133879,0.108207
1067.876100,0.108381
1071.613906,0.108856
1075.347296,0.109096
1079.076270,0.109237
1082.800829,0.109301
1086.520972,0.109646
1090.236699,0.109798
1093.948010,0.109819
1097.654906,0.109938
1102.590565,0.110179
1106.287158,0.110511
1109.979334,0.110430
1113.667096,0.110454
1117.350441,0.110111
1121.029371,0.109838
1124.703885,0.109939
1128.373984,0.109037
1132.039667,0.108227
1135.700934,0.107243
1140.575755,0.105514
1144.226718,0.103918
1147.873267,0.101871
1151.515399,0.100195
1155.153116,0.098048
1158.786417,0.096119
1162.415303,0.093833
1166.039773,0.092465
1169.659827,0.090620
1173.275465,0.089068
1176.886688,0.087271
1181.694783,0.085892
1185.295703,0.084111
1188.892206,0.083372
1192.484295,0.082468
1196.071967,0.081834
1199.655224,0.081054
1203.234065,0.081153
1206.808491,0.080428
1210.378500,0.080334
1213.944094,0.080642
1218.691351,0.081199
1222.246642,0.081480
1225.797517,0.081870
1229.343977,0.082260
1232.886021,0.082989
1236.423649,0.083291
1239.956861,0.083501
1243.485658,0.083710
1247.010039,0.083625
1250.530005,0.083598
1254.045554,0.083766
1258.726085,0.083691
1262.231332,0.083972
1265.732163,0.083971
1269.228578,0.083978
1272.720577,0.084267
1276.208161,0.084470
1279.691329,0.084790
1283.170082,0.084776
1286.644418,0.085054
1290.114340,0.085141
1294.734032,0.085085
1298.193650,0.085458
1301.648852,0.085258
1305.099639,0.084992
1308.546010,0.084657
1311.987965,0.084240
1315.425504,0.083964
1318.858628,0.083208
1322.287336,0.081995
1325.711628,0.081225
1329.131505,0.079860
1333.684472,0.077873
1337.094045,0.076006
1340.499203,0.074382
1343.899945,0.072471
1347.296272,0.070459
1350.688183,0.068450
1354.075678,0.066353
1357.458757,0.064072
1360.837421,0.062540
1364.211669,0.061249
1367.581501,0.059906
1372.067742,0.058481
1375.427272,0.057365
1378.782385,0.056145
1382.133083,0.054755
1385.479365,0.053202
1388.821231,0.050617
1392.158682,0.048098
1395.491717,0.045044
1398.820337,0.041694
1402.144540,0.038496
1406.569943,0.034003
1409.883843,0.030578
1413.193328,0.027501
1416.498397,0.024945
1419.799051,0.022485
1423.095289,0.020903
1426.387111,0.018970
1429.674517,0.017820
1432.957508,0.016987
1436.236083,0.016107
1439.510242,0.015751
1443.868919,0.015039
1447.132775,0.014647
1450.392216,0.014445
1453.647240,0.014294
1456.897849,0.014336
1460.144043,0.014049
1463.385821,0.013820
1466.623183,0.013964
1469.856129,0.013744
1473.084660,0.013716
1477.382498,0.013646
1480.600726,0.013755
1483.814538,0.013548
1487.023934,0.013452
1490.228914,0.013819
1493.429479,0.013763
1496.625628,0.013946
1499.817361,0.014313
1503.004679,0.014104
1506.187581,0.014267
1509.366067,0.014366
1513.597180,0.014792
1516.765363,0.014620
1519.929131,0.014810
1523.088482,0.015105
1526.243418,0.015213
1529.393939,0.014897
1532.540044,0.015129
1535.681733,0.015036
1538.819006,0.015204
1541.951864,0.015021
1546.122138,0.015316
1549.244693,0.015156
1552.362831,0.015295
1555.476554,0.015104
1558.585862,0.015094
1561.690753,0.015398
1564.791230,0.014942
1567.887290,0.014991
1570.978935,0.015118
1574.066163,0.014965
1577.148977,0.014969
1581.252526,0.015370
1584.325036,0.015397
1587.393130,0.015485
1590.456809,0.015609
1593.516072,0.015709
1596.570919,0.016043
1599.621351,0.016189
1602.667367,0.016452
1605.708967,0.016013
1608.746152,0.016525
1612.788862,0.016874
1615.815744,0.017348
1618.838209,0.017426
1621.856260,0.017936
1624.869894,0.017727
1627.879113,0.018052
1630.883915,0.018345
1633.884303,0.018686
1636.880274,0.018803
1639.871830,0.019280
1642.858971,0.019179
1646.834956,0.020306
1649.811793,0.019890
1652.784214,0.020339
1655.752220,0.020759
1658.715810,0.021231
1661.674984,0.021793
1664.629742,0.023204
1667.580085,0.023746
1670.526013,0.024975
1673.467524,0.026858
1677.382671,0.028598
1680.313879,0.030439
1683.240672,0.027795
1686.163049,0.030300
1689.081010,0.027504
1691.994556,0.028032
1694.903686,0.031468
1697.808400,0.029844
1700.708699,0.027636
