Wavelength (nm),Absorbance (AU)
901.663021,1.045388
905.592173,1.055271
909.516909,1.057165
913.437229,1.053634
917.353134,1.056206
921.264622,1.061028
925.171696,1.061110
929.074353,1.061939
932.972595,1.062523
938.163382,1.059319
942.051321,1.058723
945.934844,1.060509
949.813951,1.061728
953.688643,1.061855
957.558919,1.061729
961.424779,1.067427
965.286223,1.069952
969.143252,1.072011
972.995866,1.077817
978.125814,1.080925
981.968124,1.084577
985.806019,1.089966
989.639497,1.094044
993.468560,1.094548
997.293207,1.095961
1001.113439,1.094604
1004.929255,1.093557
1008.740655,1.094365
1012.547640,1.092031
1016.350208,1.091339
1021.413431,1.089863
1025.205697,1.088019
1028.993547,1.087547
1032.776981,1.083680
1036.556000,1.083841
1040.330603,1.081525
1044.100790,1.080395
1047.866561,1.079869
1051.627917,1.078439
1055.384857,1.076545
1060.387242,1.075661
1064.133879,1.073252
1067.876100,1.073762
1071.613906,1.071848
1075.347296,1.073727
1079.076270,1.072623
1082.800829,1.070712
1086.520972,1.070172
1090.236699,1.070683
1093.948010,1.069888
1097.654906,1.069956
1102.590565,1.070952
1106.287158,1.069268
1109.979334,1.069594
1113.667096,1.072006
1117.350441,1.070482
1121.029371,1.071353
1124.703885,1.074998
1128.373984,1.077678
1132.039667,1.079486
1135.700934,1.085080
1140.575755,1.090644
1144.226718,1.099308
1147.873267,1.106700
1151.515399,1.115718
1155.153116,1.124705
1158.786417,1.136802
1162.415303,1.143443
1166.039773,1.155177
1169.659827,1.160786
1173.275465,1.168732
1176.886688,1.176883
1181.694783,1.185639
1185.295703,1.193162
1188.892206,1.199064
1192.484295,1.203303
1196.071967,1.207451
1199.655224,1.208962
1203.234065,1.211510
1206.808491,1.213127
1210.378500,1.215903
1213.944094,1.216579
1218.691351,1.213355
1222.246642,1.207725
1225.797517,1.208689
1229.343977,1.204917
1232.886021,1.202738
1236.423649,1.201059
1239.956861,1.198034
1243.485658,1.196760
1247.010039,1.196716
1250.530005,1.193614
1254.045554,1.194598
1258.726085,1.194523
1262.231332,1.194199
1265.732163,1.193386
1269.228578,1.191960
1272.720577,1.191007
1276.208161,1.190178
1279.691329,1.188072
1283.170082,1.188209
1286.644418,1.185682
1290.114340,1.185894
1294.734032,1.186235
1298.193650,1.184936
1301.648852,1.186041
1305.099639,1.185390
1308.546010,1.189490
1311.987965,1.190147
1315.425504,1.194648
1318.858628,1.198041
1322.287336,1.203956
1325.711628,1.210533
1329.131505,1.217828
1333.684472,1.228914
1337.094045,1.238099
1340.499203,1.246949
1343.899945,1.258631
1347.296272,1.274125
1350.688183,1.286679
1354.075678,1.296936
1357.458757,1.310480
1360.837421,1.320693
1364.211669,1.331617
1367.581501,1.341822
1372.067742,1.353778
1375.427272,1.360572
1378.782385,1.370102
1382.133083,1.379952
1385.479365,1.397419
1388.821231,1.417842
1392.158682,1.439432
1395.491717,1.464770
1398.820337,1.495318
1402.144540,1.533795
1406.569943,1.583251
1409.883843,1.619480
1413.193328,1.659521
1416.498397,1.694250
1419.799051,1.725999
1423.095289,1.747296
1426.387111,1.779597
1429.674517,1.795294
1432.957508,1.814056
1436.236083,1.835512
1439.510242,1.836234
1443.868919,1.850735
1447.132775,1.859278
1450.392216,1.863164
1453.647240,1.873239
1456.897849,1.865853
1460.144043,1.873222
1463.385821,1.882963
1466.623183,1.877402
1469.856129,1.872395
1473.084660,1.886239
1477.382498,1.883498
1480.600726,1.886962
1483.814538,1.891995
1487.023934,1.889268
1490.228914,1.882394
1493.429479,1.880618
1496.625628,1.885183
1499.817361,1.875186
1503.004679,1.881237
1506.187581,1.867458
1509.366067,1.872662
1513.597180,1.860336
1516.765363,1.860063
1519.929131,1.866053
1523.088482,1.860011
1526.243418,1.853991
1529.393939,1.852027
1532.540044,1.859876
1535.681733,1.853206
1538.819006,1.859437
1541.951864,1.855817
1546.122138,1.852736
1549.244693,1.855555
1552.362831,1.859925
1555.476554,1.853255
1558.585862,1.853823
1561.690753,1.858707
1564.791230,1.848895
1567.887290,1.849341
1570.978935,1.839998
1574.066163,1.854583
1577.148977,1.853410
1581.252526,1.855588
1584.325036,1.850265
1587.393130,1.836543
1590.456809,1.840336
1593.516072,1.834742
1596.570919,1.847197
1599.621351,1.833606
1602.667367,1.828964
1605.708967,1.834529
1608.746152,1.822277
1612.788862,1.819513
1615.815744,1.830984
1618.838209,1.814295
1621.856260,1.798437
1624.869894,1.798147
1627.879113,1.794374
1630.883915,1.792267
1633.884303,1.782528
1636.880274,1.775866
1639.871830,1.775870
1642.858971,1.770320
1646.834956,1.776907
1649.811793,1.758203
1652.784214,1.751386
1655.752220,1.740359
1658.715810,1.716190
1661.674984,1.727006
1664.629742,1.692642
1667.580085,1.678976
1670.526013,1.637848
1673.467524,1.629117
1677.382671,1.577219
1680.313879,1.562094
1683.240672,1.580340
1686.163049,1.552853
1689.081010,1.550122
1691.994556,1.560941
1694.903686,1.487132
1697.808400,1.560617
1700.708699,1.531444
