Wavelength (nm),Absorbance (AU)
901.663021,0.771042
905.592173,0.770281
909.516909,0.777644
913.437229,0.780140
917.353134,0.784359
921.264622,0.783361
925.171696,0.788422
929.074353,0.789506
932.972595,0.791720
938.163382,0.792881
942.051321,0.793887
945.934844,0.794697
949.813951,0.795712
953.688643,0.798357
957.558919,0.801678
961.424779,0.802980
965.286223,0.806993
969.143252,0.810711
972.995866,0.817086
978.125814,0.820926
981.968124,0.824787
985.806019,0.828531
989.639497,0.831741
993.468560,0.833698
997.293207,0.837318
1001.113439,0.836781
1004.929255,0.837203
1008.740655,0.837096
1012.547640,0.837504
1016.350208,0.836961
1021.413431,0.835127
1025.205697,0.833584
1028.993547,0.833663
1032.776981,0.831110
1036.556000,0.830110
1040.330603,0.828312
1044.100790,0.827219
1047.866561,0.826183
1051.627917,0.822774
1055.384857,0.822374
1060.387242,0.818412
1064.133879,0.818060
1067.876100,0.816215
1071.613906,0.815875
1075.347296,0.812560
1079.076270,0.810763
1082.800829,0.809957
1086.520972,0.808191
1090.236699,0.806341
1093.948010,0.805001
1097.654906,0.803846
1102.590565,0.802315
1106.287158,0.800705
1109.979334,0.799427
1113.667096,0.799084
1117.350441,0.798072
1121.029371,0.799065
1124.703885,0.798544
1128.373984,0.799455
1132.039667,0.801041
1135.700934,0.803416
1140.575755,0.807682
1144.226718,0.812311
1147.873267,0.817759
1151.515399,0.823979
1155.153116,0.830253
1158.786417,0.837618
1162.415303,0.845126
1166.039773,0.850278
1169.659827,0.856272
1173.275465,0.862905
1176.886688,0.869318
1181.694783,0.878283
1185.295703,0.883735
1188.892206,0.887690
1192.484295,0.892441
1196.071967,0.893353
1199.655224,0.896188
1203.234065,0.898554
1206.808491,0.899779
1210.378500,0.900286
1213.944094,0.900518
1218.691351,0.898908
1222.246642,0.896557
1225.797517,0.893850
1229.343977,0.891257
1232.886021,0.889612
1236.423649,0.887987
1239.956861,0.888073
1243.485658,0.887048
1247.010039,0.887000
1250.530005,0.887413
1254.045554,0.886860
1258.726085,0.886972
1262.231332,0.886833
1265.732163,0.886072
1269.228578,0.886358
1272.720577,0.885520
1276.208161,0.885582
1279.691329,0.884184
1283.170082,0.883244
1286.644418,0.882671
1290.114340,0.881850
1294.734032,0.880795
1298.193650,0.880367
1301.648852,0.880229
1305.099639,0.879361
1308.546010,0.880491
1311.987965,0.882832
1315.425504,0.883779
1318.858628,0.887316
1322.287336,0.891086
1325.711628,0.894810
1329.131505,0.900282
1333.684472,0.909045
1337.094045,0.916280
1340.499203,0.923910
1343.899945,0.932507
1347.296272,0.943146
1350.688183,0.953710
1354.075678,0.964415
1357.458757,0.974146
1360.837421,0.984310
1364.211669,0.991873
1367.581501,1.000143
1372.067742,1.007534
1375.427272,1.014340
1378.782385,1.021167
1382.133083,1.030891
1385.479365,1.042189
1388.821231,1.056956
1392.158682,1.074464
1395.491717,1.095186
1398.820337,1.119302
1402.144540,1.147981
1406.569943,1.192755
1409.883843,1.231100
1413.193328,1.271901
1416.498397,1.316663
1419.799051,1.357795
1423.095289,1.398784
1426.387111,1.432281
1429.674517,1.468635
1432.957508,1.501603
1436.236083,1.528073
1439.510242,1.548074
1443.868919,1.576408
1447.132775,1.584981
1450.392216,1.600014
1453.647240,1.618301
1456.897849,1.624182
1460.144043,1.627325
1463.385821,1.640432
1466.623183,1.648852
1469.856129,1.655442
1473.084660,1.645927
1477.382498,1.653614
1480.600726,1.651776
1483.814538,1.657904
1487.023934,1.652006
1490.228914,1.646136
1493.429479,1.645293
1496.625628,1.646585
1499.817361,1.640433
1503.004679,1.636993
1506.187581,1.634400
1509.366067,1.626169
1513.597180,1.618603
1516.765363,1.617717
1519.929131,1.611565
1523.088482,1.611456
1526.243418,1.607993
1529.393939,1.608829
1532.540044,1.607032
1535.681733,1.607928
1538.819006,1.599101
1541.951864,1.600670
1546.122138,1.597026
1549.244693,1.601177
1552.362831,1.600394
1555.476554,1.607234
1558.585862,1.600838
1561.690753,1.600386
1564.791230,1.604545
1567.887290,1.607272
1570.978935,1.605196
1574.066163,1.608103
1577.148977,1.610468
1581.252526,1.603856
1584.325036,1.604230
1587.393130,1.603152
1590.456809,1.597042
1593.516072,1.594933
1596.570919,1.585451
1599.621351,1.584602
1602.667367,1.572089
1605.708967,1.567403
1608.746152,1.566316
1612.788862,1.557440
1615.815744,1.543581
1618.838209,1.539933
1621.856260,1.541231
1624.869894,1.532683
1627.879113,1.526190
1630.883915,1.524114
1633.884303,1.513233
1636.880274,1.507251
1639.871830,1.504653
1642.858971,1.506272
1646.834956,1.489974
1649.811793,1.490775
1652.784214,1.479311
1655.752220,1.472353
1658.715810,1.463674
1661.674984,1.445920
1664.629742,1.427826
1667.580085,1.408036
1670.526013,1.381503
1673.467524,1.369854
1677.382671,1.332773
1680.313879,1.324623
1683.240672,1.315330
1686.163049,1.313130
1689.081010,1.335589
1691.994556,1.326952
1694.903686,1.350944
1697.808400,1.351116
1700.708699,1.368543
