Wavelength (nm),Reflectance (AU)
901.663021,0.157696
905.592173,0.157261
909.516909,0.156620
913.437229,0.156055
917.353134,0.155256
921.264622,0.153859
925.171696,0.154422
929.074353,0.154514
932.972595,0.153912
938.163382,0.153694
942.051321,0.154234
945.934844,0.154643
949.813951,0.155233
953.688643,0.154765
957.558919,0.153694
961.424779,0.153303
965.286223,0.152300
969.143252,0.150989
972.995866,0.150017
978.125814,0.148222
981.968124,0.147548
985.806019,0.146885
989.639497,0.145620
993.468560,0.145414
997.293207,0.144721
1001.113439,0.145035
1004.929255,0.145459
1008.740655,0.145317
1012.547640,0.145543
1016.350208,0.146219
1021.413431,0.146715
1025.205697,0.147311
1028.993547,0.147933
1032.776981,0.148766
1036.556000,0.149416
1040.330603,0.149746
1044.100790,0.150089
1047.866561,0.150369
1051.627917,0.151239
1055.384857,0.151444
1060.387242,0.151818
1064.133879,0.152454
1067.876100,0.153097
1071.613906,0.153264
1075.347296,0.153372
1079.076270,0.153665
1082.800829,0.153745
1086.520972,0.153765
1090.236699,0.154153
1093.948010,0.154469
1097.654906,0.154743
1102.590565,0.154513
1106.287158,0.154656
1109.979334,0.154769
1113.667096,0.153699
1117.350441,0.154383
1121.029371,0.153855
1124.703885,0.153681
1128.373984,0.152408
1132.039667,0.151397
1135.700934,0.150616
1140.575755,0.148321
1144.226718,0.146185
1147.873267,0.144702
1151.515399,0.142680
1155.153116,0.140414
1158.786417,0.137978
1162.415303,0.135430
1166.039773,0.134055
1169.659827,0.132588
1173.275465,0.130814
1176.886688,0.129782
1181.694783,0.127676
1185.295703,0.125815
1188.892206,0.124945
1192.484295,0.123868
1196.071967,0.122588
1199.655224,0.122397
1203.234065,0.121967
1206.808491,0.121575
1210.378500,0.121618
1213.944094,0.121360
1218.691351,0.121596
1222.246642,0.122476
1225.797517,0.122941
1229.343977,0.123745
1232.886021,0.124441
1236.423649,0.124685
1239.956861,0.124803
1243.485658,0.125241
1247.010039,0.125214
1250.530005,0.125292
1254.045554,0.124935
1258.726085,0.125043
1262.231332,0.125424
1265.732163,0.125475
1269.228578,0.125564
1272.720577,0.125754
1276.208161,0.125812
1279.691329,0.125736
1283.170082,0.125429
1286.644418,0.125534
1290.114340,0.125661
1294.734032,0.125765
1298.193650,0.125629
1301.648852,0.125670
1305.099639,0.125523
1308.546010,0.124871
1311.987965,0.123969
1315.425504,0.123251
1318.858628,0.122031
1322.287336,0.121047
1325.711628,0.119601
1329.131505,0.118128
1333.684472,0.115775
1337.094045,0.113785
1340.499203,0.111733
1343.899945,0.109486
1347.296272,0.107053
1350.688183,0.104491
1354.075678,0.101742
1357.458757,0.099580
1360.837421,0.097707
1364.211669,0.096086
1367.581501,0.094563
1372.067742,0.092949
1375.427272,0.091495
1378.782385,0.089609
1382.133083,0.087670
1385.479365,0.085066
1388.821231,0.081898
1392.158682,0.078441
1395.491717,0.074358
1398.820337,0.069730
1402.144540,0.065199
1406.569943,0.058948
1409.883843,0.054563
1413.193328,0.050517
1416.498397,0.046828
1419.799051,0.043480
1423.095289,0.041066
1426.387111,0.038922
1429.674517,0.037061
1432.957508,0.035420
1436.236083,0.034521
1439.510242,0.033580
1443.868919,0.032737
1447.132775,0.032709
1450.392216,0.032062
1453.647240,0.032306
1456.897849,0.032264
1460.144043,0.031763
1463.385821,0.032117
1466.623183,0.031807
1469.856129,0.031910
1473.084660,0.031654
1477.382498,0.031790
1480.600726,0.031694
1483.814538,0.031879
1487.023934,0.031962
1490.228914,0.032545
1493.429479,0.032412
1496.625628,0.032850
1499.817361,0.033452
1503.004679,0.033745
1506.187581,0.033922
1509.366067,0.034326
1513.597180,0.034539
1516.765363,0.034632
1519.929131,0.034531
1523.088482,0.034439
1526.243418,0.034504
1529.393939,0.034746
1532.540044,0.034782
1535.681733,0.035032
1538.819006,0.035071
1541.951864,0.035082
1546.122138,0.034930
1549.244693,0.035010
1552.362831,0.035170
1555.476554,0.034759
1558.585862,0.034700
1561.690753,0.034946
1564.791230,0.034898
1567.887290,0.034613
1570.978935,0.034316
1574.066163,0.034383
1577.148977,0.034177
1581.252526,0.034713
1584.325036,0.034397
1587.393130,0.034567
1590.456809,0.034961
1593.516072,0.035033
1596.570919,0.034973
1599.621351,0.035644
1602.667367,0.035801
1605.708967,0.036147
1608.746152,0.036494
1612.788862,0.036665
1615.815744,0.037293
1618.838209,0.037887
1621.856260,0.038229
1624.869894,0.038129
1627.879113,0.038508
1630.883915,0.039017
1633.884303,0.039147
1636.880274,0.039569
1639.871830,0.039579
1642.858971,0.040364
1646.834956,0.040903
1649.811793,0.041977
1652.784214,0.042484
1655.752220,0.042968
1658.715810,0.044272
1661.674984,0.045798
1664.629742,0.048634
1667.580085,0.051355
1670.526013,0.055937
1673.467524,0.059975
1677.382671,0.067266
1680.313879,0.071558
1683.240672,0.074173
1686.163049,0.074469
1689.081010,0.075115
1691.994556,0.073452
1694.903686,0.073726
1697.808400,0.078016
1700.708699,0.068256
