Wavelength (nm),Absorbance (AU)
901.663021,1.079578
905.592173,1.083330
909.516909,1.082556
913.437229,1.077855
917.353134,1.084745
921.264622,1.082792
925.171696,1.084886
929.074353,1.081566
932.972595,1.080935
938.163382,1.079168
942.051321,1.074813
945.934844,1.074280
949.813951,1.073904
953.688643,1.073252
957.558919,1.070591
961.424779,1.072121
965.286223,1.076240
969.143252,1.077462
972.995866,1.079052
978.125814,1.083955
981.968124,1.086876
985.806019,1.088989
989.639497,1.093727
993.468560,1.092804
997.293207,1.092846
1001.113439,1.091648
1004.929255,1.088657
1008.740655,1.090671
1012.547640,1.087209
1016.350208,1.085404
1021.413431,1.081713
1025.205697,1.080598
1028.993547,1.077311
1032.776981,1.076949
1036.556000,1.073180
1040.330603,1.068670
1044.100790,1.069673
1047.866561,1.069992
1051.627917,1.066664
1055.384857,1.068344
1060.387242,1.066428
1064.133879,1.063325
1067.876100,1.066415
1071.613906,1.060985
1075.347296,1.061975
1079.076270,1.062579
1082.800829,1.059783
1086.520972,1.059178
1090.236699,1.059977
1093.948010,1.058823
1097.654906,1.059358
1102.590565,1.057647
1106.287158,1.058450
1109.979334,1.058805
1113.667096,1.057448
1117.350441,1.060413
1121.029371,1.062390
1124.703885,1.065215
1128.373984,1.066673
1132.039667,1.069386
1135.700934,1.073984
1140.575755,1.080958
1144.226718,1.087810
1147.873267,1.096268
1151.515399,1.102964
1155.153116,1.115158
1158.786417,1.123812
1162.415303,1.131523
1166.039773,1.136032
1169.659827,1.142285
1173.275465,1.147990
1176.886688,1.155860
1181.694783,1.163698
1185.295703,1.166922
1188.892206,1.171534
1192.484295,1.173611
1196.071967,1.179407
1199.655224,1.179918
1203.234065,1.180947
1206.808491,1.183682
1210.378500,1.186527
1213.944094,1.181293
1218.691351,1.177588
1222.246642,1.178588
1225.797517,1.174322
1229.343977,1.172424
1232.886021,1.168707
1236.423649,1.170338
1239.956861,1.168255
1243.485658,1.166372
1247.010039,1.164817
1250.530005,1.163763
1254.045554,1.162429
1258.726085,1.164267
1262.231332,1.164024
1265.732163,1.162409
1269.228578,1.162296
1272.720577,1.162767
1276.208161,1.161543
1279.691329,1.159481
1283.170082,1.159584
1286.644418,1.158425
1290.114340,1.158782
1294.734032,1.157637
1298.193650,1.158662
1301.648852,1.159248
1305.099639,1.159756
1308.546010,1.163204
1311.987965,1.164732
1315.425504,1.168237
1318.858628,1.170625
1322.287336,1.175857
1325.711628,1.182066
1329.131505,1.187864
1333.684472,1.199471
1337.094045,1.206087
1340.499203,1.214282
1343.899945,1.226448
1347.296272,1.235419
1350.688183,1.243505
1354.075678,1.254166
1357.458757,1.262726
1360.837421,1.273335
1364.211669,1.279895
1367.581501,1.284037
1372.067742,1.292637
1375.427272,1.298721
1378.782385,1.304671
1382.133083,1.312770
1385.479365,1.321786
1388.821231,1.332732
1392.158682,1.347144
1395.491717,1.360827
1398.820337,1.377727
1402.144540,1.396403
1406.569943,1.419945
1409.883843,1.439229
1413.193328,1.454544
1416.498397,1.468598
1419.799051,1.480432
1423.095289,1.492803
1426.387111,1.500372
1429.674517,1.516040
1432.957508,1.522022
1436.236083,1.531544
1439.510242,1.534374
1443.868919,1.537726
1447.132775,1.544416
1450.392216,1.545750
1453.647240,1.549443
1456.897849,1.551990
1460.144043,1.553251
1463.385821,1.556176
1466.623183,1.556898
1469.856129,1.559340
1473.084660,1.560288
1477.382498,1.556241
1480.600726,1.560676
1483.814538,1.560848
1487.023934,1.558419
1490.228914,1.554839
1493.429479,1.556119
1496.625628,1.554152
1499.817361,1.549709
1503.004679,1.550115
1506.187581,1.547654
1509.366067,1.547912
1513.597180,1.544781
1516.765363,1.541909
1519.929131,1.542265
1523.088482,1.538948
1526.243418,1.539129
1529.393939,1.535087
1532.540044,1.537191
1535.681733,1.537844
1538.819006,1.535077
1541.951864,1.533850
1546.122138,1.530791
1549.244693,1.533368
1552.362831,1.534040
1555.476554,1.531377
1558.585862,1.532519
1561.690753,1.535273
1564.791230,1.532152
1567.887290,1.530146
1570.978935,1.528938
1574.066163,1.525000
1577.148977,1.525294
1581.252526,1.522813
1584.325036,1.522568
1587.393130,1.524603
1590.456809,1.520490
1593.516072,1.515963
1596.570919,1.515516
1599.621351,1.513426
1602.667367,1.509671
1605.708967,1.503620
1608.746152,1.502232
1612.788862,1.494551
1615.815744,1.494323
1618.838209,1.494808
1621.856260,1.487170
1624.869894,1.484705
1627.879113,1.483655
1630.883915,1.479046
1633.884303,1.475927
1636.880274,1.466217
1639.871830,1.469531
1642.858971,1.465201
1646.834956,1.469104
1649.811793,1.463540
1652.784214,1.453794
1655.752220,1.447763
1658.715810,1.430921
1661.674984,1.413801
1664.629742,1.392636
1667.580085,1.366135
1670.526013,1.318424
1673.467524,1.281991
1677.382671,1.234486
1680.313879,1.196065
1683.240672,1.170145
1686.163049,1.159807
1689.081010,1.164993
1691.994556,1.145022
1694.903686,1.141643
1697.808400,1.139483
1700.708699,1.170859
