Wavelength (nm),Reflectance (AU)
901.663021,0.134508
905.592173,0.133882
909.516909,0.132304
913.437229,0.133848
917.353134,0.132622
921.264622,0.131588
925.171696,0.131744
929.074353,0.131549
932.972595,0.132333
938.163382,0.132961
942.051321,0.132417
945.934844,0.132256
949.813951,0.132732
953.688643,0.132300
957.558919,0.132901
961.424779,0.132087
965.286223,0.131465
969.143252,0.130833
972.995866,0.129343
978.125814,0.128459
981.968124,0.127571
985.806019,0.126192
989.639497,0.125645
993.468560,0.125516
997.293207,0.124749
1001.113439,0.125368
1004.929255,0.126371
1008.740655,0.126708
1012.547640,0.126616
1016.350208,0.127258
1021.413431,0.127797
1025.205697,0.128314
1028.993547,0.128907
1032.776981,0.128856
1036.556000,0.129906
1040.330603,0.130251
1044.100790,0.130918
1047.866561,0.130915
1051.627917,0.131462
1055.384857,0.131847
1060.387242,0.132040
1064.133879,0.132212
1067.876100,0.132201
1071.613906,0.132685
1075.347296,0.133009
1079.076270,0.132997
1082.800829,0.132807
1086.520972,0.133161
1090.236699,0.133157
1093.948010,0.133199
1097.654906,0.133089
1102.590565,0.133099
1106.287158,0.133347
1109.979334,0.133448
1113.667096,0.133278
1117.350441,0.133321
1121.029371,0.132976
1124.703885,0.131888
1128.373984,0.131386
1132.039667,0.130459
1135.700934,0.129285
1140.575755,0.127246
1144.226718,0.125222
1147.873267,0.123633
1151.515399,0.121398
1155.153116,0.119224
1158.786417,0.116894
1162.415303,0.115033
1166.039773,0.113202
1169.659827,0.111456
1173.275465,0.109637
1176.886688,0.108098
1181.694783,0.105741
1185.295703,0.104407
1188.892206,0.103751
1192.484295,0.102765
1196.071967,0.101813
1199.655224,0.101230
1203.234065,0.100715
1206.808491,0.100354
1210.378500,0.100438
1213.944094,0.100691
1218.691351,0.101442
1222.246642,0.101849
1225.797517,0.102722
1229.343977,0.103279
1232.886021,0.103712
1236.423649,0.103963
1239.956861,0.104440
1243.485658,0.104698
1247.010039,0.105193
1250.530005,0.105263
1254.045554,0.105428
1258.726085,0.105810
1262.231332,0.105659
1265.732163,0.105766
1269.228578,0.106133
1272.720577,0.106286
1276.208161,0.106635
1279.691329,0.106837
1283.170082,0.107026
1286.644418,0.107300
1290.114340,0.107326
1294.734032,0.107526
1298.193650,0.107614
1301.648852,0.107043
1305.099639,0.107102
1308.546010,0.106775
1311.987965,0.106100
1315.425504,0.105430
1318.858628,0.104694
1322.287336,0.103312
1325.711628,0.101979
1329.131505,0.100424
1333.684472,0.098107
1337.094045,0.096105
1340.499203,0.094150
1343.899945,0.091972
1347.296272,0.089745
1350.688183,0.087002
1354.075678,0.084502
1357.458757,0.082548
1360.837421,0.080395
1364.211669,0.078529
1367.581501,0.077482
1372.067742,0.075924
1375.427272,0.074221
1378.782385,0.072545
1382.133083,0.070553
1385.479365,0.068247
1388.821231,0.065272
1392.158682,0.061803
1395.491717,0.057919
1398.820337,0.053898
1402.144540,0.049633
1406.569943,0.043774
1409.883843,0.039918
1413.193328,0.036626
1416.498397,0.033590
1419.799051,0.031406
1423.095289,0.029574
1426.387111,0.028646
1429.674517,0.027391
1432.957508,0.026841
1436.236083,0.026194
1439.510242,0.025812
1443.868919,0.025628
1447.132775,0.025707
1450.392216,0.025328
1453.647240,0.024970
1456.897849,0.025165
1460.144043,0.024909
1463.385821,0.024833
1466.623183,0.025105
1469.856129,0.025041
1473.084660,0.025006
1477.382498,0.024911
1480.600726,0.024862
1483.814538,0.024971
1487.023934,0.024912
1490.228914,0.025129
1493.429479,0.025062
1496.625628,0.025193
1499.817361,0.025495
1503.004679,0.025088
1506.187581,0.025310
1509.366067,0.025551
1513.597180,0.025627
1516.765363,0.025569
1519.929131,0.025931
1523.088482,0.025935
1526.243418,0.025965
1529.393939,0.026098
1532.540044,0.026009
1535.681733,0.025889
1538.819006,0.025634
1541.951864,0.025822
1546.122138,0.025801
1549.244693,0.025911
1552.362831,0.025886
1555.476554,0.025939
1558.585862,0.025909
1561.690753,0.025649
1564.791230,0.025634
1567.887290,0.025770
1570.978935,0.025684
1574.066163,0.025830
1577.148977,0.025627
1581.252526,0.026128
1584.325036,0.025737
1587.393130,0.025568
1590.456809,0.025918
1593.516072,0.025555
1596.570919,0.026201
1599.621351,0.026400
1602.667367,0.026710
1605.708967,0.026694
1608.746152,0.026964
1612.788862,0.027285
1615.815744,0.027142
1618.838209,0.027745
1621.856260,0.027754
1624.869894,0.028084
1627.879113,0.028525
1630.883915,0.028685
1633.884303,0.029144
1636.880274,0.028999
1639.871830,0.029294
1642.858971,0.029680
1646.834956,0.030116
1649.811793,0.030602
1652.784214,0.030747
1655.752220,0.031102
1658.715810,0.032696
1661.674984,0.034628
1664.629742,0.035741
1667.580085,0.037407
1670.526013,0.040530
1673.467524,0.043945
1677.382671,0.048329
1680.313879,0.051885
1683.240672,0.054322
1686.163049,0.053620
1689.081010,0.057070
1691.994556,0.057409
1694.903686,0.054153
1697.808400,0.052523
1700.708699,0.054168
