Wavelength (nm),Reflectance (AU)
901.663021,0.069253
905.592173,0.067425
909.516909,0.068815
913.437229,0.067171
917.353134,0.066991
921.264622,0.066598
925.171696,0.067001
929.074353,0.066336
932.972595,0.066761
938.163382,0.068305
942.051321,0.068370
945.934844,0.068942
949.813951,0.069395
953.688643,0.069979
957.558919,0.070486
961.424779,0.071024
965.286223,0.070810
969.143252,0.070752
972.995866,0.070759
978.125814,0.070323
981.968124,0.070061
985.806019,0.069747
989.639497,0.069642
993.468560,0.069482
997.293207,0.069530
1001.113439,0.069803
1004.929255,0.069934
1008.740655,0.070566
1012.547640,0.070905
1016.350208,0.071342
1021.413431,0.071318
1025.205697,0.071975
1028.993547,0.072048
1032.776981,0.072745
1036.556000,0.073128
1040.330603,0.072934
1044.100790,0.073018
1047.866561,0.073411
1051.627917,0.073898
1055.384857,0.074501
1060.387242,0.074431
1064.133879,0.074182
1067.876100,0.074656
1071.613906,0.074852
1075.347296,0.074802
1079.076270,0.074700
1082.800829,0.074708
1086.520972,0.074777
1090.236699,0.074895
1093.948010,0.074906
1097.654906,0.074598
1102.590565,0.074721
1106.287158,0.074172
1109.979334,0.074035
1113.667096,0.073935
1117.350441,0.073583
1121.029371,0.073170
1124.703885,0.072425
1128.373984,0.072272
1132.039667,0.071723
1135.700934,0.071149
1140.575755,0.069971
1144.226718,0.068849
1147.873267,0.067334
1151.515399,0.066764
1155.153116,0.065205
1158.786417,0.063853
1162.415303,0.063296
1166.039773,0.062543
1169.659827,0.061471
1173.275465,0.060415
1176.886688,0.059987
1181.694783,0.058970
1185.295703,0.057640
1188.892206,0.057487
1192.484295,0.057128
1196.071967,0.056490
1199.655224,0.056587
1203.234065,0.056167
1206.808491,0.056243
1210.378500,0.055876
1213.944094,0.056232
1218.691351,0.056504
1222.246642,0.057034
1225.797517,0.057340
1229.343977,0.057555
1232.886021,0.057983
1236.423649,0.058301
1239.956861,0.058303
1243.485658,0.058905
1247.010039,0.059146
1250.530005,0.059323
1254.045554,0.059492
1258.726085,0.059747
1262.231332,0.059958
1265.732163,0.059932
1269.228578,0.060033
1272.720577,0.060438
1276.208161,0.060676
1279.691329,0.060699
1283.170082,0.060622
1286.644418,0.060802
1290.114340,0.060742
1294.734032,0.060986
1298.193650,0.060950
1301.648852,0.060972
1305.099639,0.060841
1308.546010,0.060789
1311.987965,0.060302
1315.425504,0.060250
1318.858628,0.059652
1322.287336,0.059300
1325.711628,0.058887
1329.131505,0.057894
1333.684472,0.056903
1337.094045,0.056093
1340.499203,0.054994
1343.899945,0.054162
1347.296272,0.053130
1350.688183,0.052259
1354.075678,0.050837
1357.458757,0.050090
1360.837421,0.049183
1364.211669,0.048359
1367.581501,0.047715
1372.067742,0.046415
1375.427272,0.046128
1378.782385,0.045345
1382.133083,0.044490
1385.479365,0.043516
1388.821231,0.042126
1392.158682,0.040919
1395.491717,0.039180
1398.820337,0.037286
1402.144540,0.035122
1406.569943,0.032335
1409.883843,0.030195
1413.193328,0.028430
1416.498397,0.026646
1419.799051,0.025203
1423.095289,0.023910
1426.387111,0.022893
1429.674517,0.022012
1432.957508,0.021244
1436.236083,0.020567
1439.510242,0.020138
1443.868919,0.019670
1447.132775,0.019442
1450.392216,0.019305
1453.647240,0.018877
1456.897849,0.018866
1460.144043,0.018823
1463.385821,0.018762
1466.623183,0.018365
1469.856129,0.018511
1473.084660,0.018223
1477.382498,0.018605
1480.600726,0.018283
1483.814538,0.018395
1487.023934,0.018460
1490.228914,0.018554
1493.429479,0.018786
1496.625628,0.018737
1499.817361,0.018899
1503.004679,0.019194
1506.187581,0.019033
1509.366067,0.019351
1513.597180,0.019379
1516.765363,0.019404
1519.929131,0.019400
1523.088482,0.019820
1526.243418,0.019730
1529.393939,0.019522
1532.540044,0.020027
1535.681733,0.019826
1538.819006,0.019623
1541.951864,0.020069
1546.122138,0.019761
1549.244693,0.019947
1552.362831,0.020077
1555.476554,0.019758
1558.585862,0.019828
1561.690753,0.019872
1564.791230,0.020098
1567.887290,0.019987
1570.978935,0.020016
1574.066163,0.020001
1577.148977,0.020387
1581.252526,0.020031
1584.325036,0.020329
1587.393130,0.020297
1590.456809,0.020582
1593.516072,0.020350
1596.570919,0.020905
1599.621351,0.020851
1602.667367,0.021268
1605.708967,0.021266
1608.746152,0.021051
1612.788862,0.022323
1615.815744,0.022245
1618.838209,0.022346
1621.856260,0.022425
1624.869894,0.022728
1627.879113,0.022896
1630.883915,0.023344
1633.884303,0.022834
1636.880274,0.023435
1639.871830,0.023343
1642.858971,0.024283
1646.834956,0.024278
1649.811793,0.024879
1652.784214,0.025191
1655.752220,0.025953
1658.715810,0.026412
1661.674984,0.027774
1664.629742,0.028855
1667.580085,0.031476
1670.526013,0.033928
1673.467524,0.037386
1677.382671,0.041509
1680.313879,0.044271
1683.240672,0.047468
1686.163049,0.048430
1689.081010,0.049400
1691.994556,0.048431
1694.903686,0.049936
1697.808400,0.050962
1700.708699,0.047677
