Wavelength (nm),Sample Signal (unitless)
901.663021,10325.000000
905.592173,11209.000000
909.516909,12151.000000
913.437229,13123.000000
917.353134,14631.000000
921.264622,16040.000000
925.171696,17823.000000
929.074353,19685.000000
932.972595,21497.000000
938.163382,24015.000000
942.051321,25777.000000
945.934844,27398.000000
949.813951,28930.000000
953.688643,30293.000000
957.558919,31812.000000
961.424779,32832.000000
965.286223,33986.000000
969.143252,34616.000000
972.995866,35193.000000
978.125814,35675.000000
981.968124,35940.000000
985.806019,36119.000000
989.639497,36489.000000
993.468560,36327.000000
997.293207,36158.000000
1001.113439,36038.000000
1004.929255,35823.000000
1008.740655,35551.000000
1012.547640,35676.000000
1016.350208,35747.000000
1021.413431,35690.000000
1025.205697,35884.000000
1028.993547,35993.000000
1032.776981,36238.000000
1036.556000,36449.000000
1040.330603,36770.000000
1044.100790,37130.000000
1047.866561,37459.000000
1051.627917,37802.000000
1055.384857,38093.000000
1060.387242,38583.000000
1064.133879,38903.000000
1067.876100,38999.000000
1071.613906,39404.000000
1075.347296,39632.000000
1079.076270,39930.000000
1082.800829,40151.000000
1086.520972,40325.000000
1090.236699,40514.000000
1093.948010,40796.000000
1097.654906,40906.000000
1102.590565,41064.000000
1106.287158,41193.000000
1109.979334,41290.000000
1113.667096,41252.000000
1117.350441,41275.000000
1121.029371,41328.000000
1124.703885,41268.000000
1128.373984,40990.000000
1132.039667,41183.000000
1135.700934,40752.000000
1140.575755,40448.000000
1144.226718,40012.000000
1147.873267,39544.000000
1151.515399,38951.000000
1155.153116,38557.000000
1158.786417,38110.000000
1162.415303,37517.000000
1166.039773,37094.000000
1169.659827,36753.000000
1173.275465,36727.000000
1176.886688,36554.000000
1181.694783,36418.000000
1185.295703,36520.000000
1188.892206,36496.000000
1192.484295,36712.000000
1196.071967,36929.000000
1199.655224,37152.000000
1203.234065,37485.000000
1206.808491,37942.000000
1210.378500,38532.000000
1213.944094,39161.000000
1218.691351,40299.000000
1222.246642,40977.000000
1225.797517,41965.000000
1229.343977,42750.000000
1232.886021,43567.000000
1236.423649,44143.000000
1239.956861,45013.000000
1243.485658,45467.000000
1247.010039,46220.000000
1250.530005,46969.000000
1254.045554,47078.000000
1258.726085,47930.000000
1262.231332,48556.000000
1265.732163,49104.000000
1269.228578,49610.000000
1272.720577,50185.000000
1276.208161,50636.000000
1279.691329,51215.000000
1283.170082,51615.000000
1286.644418,52230.000000
1290.114340,52530.000000
1294.734032,53043.000000
1298.193650,53194.000000
1301.648852,53319.000000
1305.099639,53295.000000
1308.546010,53388.000000
1311.987965,53207.000000
1315.425504,52756.000000
1318.858628,52545.000000
1322.287336,51888.000000
1325.711628,51241.000000
1329.131505,50390.000000
1333.684472,49288.000000
1337.094045,48247.000000
1340.499203,47454.000000
1343.899945,46187.000000
1347.296272,44758.000000
1350.688183,43791.000000
1354.075678,42443.000000
1357.458757,41375.000000
1360.837421,40269.000000
1364.211669,39508.000000
1367.581501,38560.000000
1372.067742,37546.000000
1375.427272,36845.000000
1378.782385,35861.000000
1382.133083,34678.000000
1385.479365,33548.000000
1388.821231,32077.000000
1392.158682,30774.000000
1395.491717,29260.000000
1398.820337,27716.000000
1402.144540,26158.000000
1406.569943,24107.000000
1409.883843,22765.000000
1413.193328,21382.000000
1416.498397,20390.000000
1419.799051,19371.000000
1423.095289,18668.000000
1426.387111,18132.000000
1429.674517,17597.000000
1432.957508,17502.000000
1436.236083,17088.000000
1439.510242,16915.000000
1443.868919,16715.000000
1447.132775,16760.000000
1450.392216,16593.000000
1453.647240,16598.000000
1456.897849,16470.000000
1460.144043,16383.000000
1463.385821,16173.000000
1466.623183,16126.000000
1469.856129,16064.000000
1473.084660,15935.000000
1477.382498,15891.000000
1480.600726,15997.000000
1483.814538,15842.000000
1487.023934,15820.000000
1490.228914,15742.000000
1493.429479,15719.000000
1496.625628,15604.000000
1499.817361,15445.000000
1503.004679,15374.000000
1506.187581,15447.000000
1509.366067,15270.000000
1513.597180,15179.000000
1516.765363,14946.000000
1519.929131,14810.000000
1523.088482,14883.000000
1526.243418,14775.000000
1529.393939,14653.000000
1532.540044,14515.000000
1535.681733,14335.000000
1538.819006,14091.000000
1541.951864,13975.000000
1546.122138,13878.000000
1549.244693,13599.000000
1552.362831,13473.000000
1555.476554,13301.000000
1558.585862,12923.000000
1561.690753,12821.000000
1564.791230,12807.000000
1567.887290,12364.000000
1570.978935,12176.000000
1574.066163,11958.000000
1577.148977,11816.000000
1581.252526,11540.000000
1584.325036,11327.000000
1587.393130,11238.000000
1590.456809,10885.000000
1593.516072,10745.000000
1596.570919,10651.000000
1599.621351,10411.000000
1602.667367,10278.000000
1605.708967,10097.000000
1608.746152,9913.000000
1612.788862,9708.000000
1615.815744,9490.000000
1618.838209,9316.000000
1621.856260,9211.000000
1624.869894,9062.000000
1627.879113,8924.000000
1630.883915,8837.000000
1633.884303,8549.000000
1636.880274,8319.000000
1639.871830,8187.000000
1642.858971,7954.000000
1646.834956,7903.000000
1649.811793,7595.000000
1652.784214,7648.000000
1655.752220,7223.000000
1658.715810,7091.000000
1661.674984,6649.000000
1664.629742,6548.000000
1667.580085,6169.000000
1670.526013,5825.000000
1673.467524,5313.000000
1677.382671,4503.000000
1680.313879,3839.000000
1683.240672,3366.000000
1686.163049,2912.000000
1689.081010,2371.000000
1691.994556,1987.000000
1694.903686,1702.000000
1697.808400,1492.000000
1700.708699,1371.000000
