Wavelength (nm),Reflectance (AU)
901.663021,0.158481
905.592173,0.157987
909.516909,0.158282
913.437229,0.158145
917.353134,0.156019
921.264622,0.155520
925.171696,0.155959
929.074353,0.155603
932.972595,0.156809
938.163382,0.157742
942.051321,0.158282
945.934844,0.159415
949.813951,0.159534
953.688643,0.159764
957.558919,0.159460
961.424779,0.159230
965.286223,0.158969
969.143252,0.157356
972.995866,0.155937
978.125814,0.154786
981.968124,0.153377
985.806019,0.152956
989.639497,0.152200
993.468560,0.151706
997.293207,0.151579
1001.113439,0.152745
1004.929255,0.152989
1008.740655,0.153763
1012.547640,0.154492
1016.350208,0.155421
1021.413431,0.156493
1025.205697,0.156754
1028.993547,0.157628
1032.776981,0.158417
1036.556000,0.159442
1040.330603,0.160851
1044.100790,0.161521
1047.866561,0.162356
1051.627917,0.162851
1055.384857,0.163828
1060.387242,0.164586
1064.133879,0.165214
1067.876100,0.165359
1071.613906,0.166337
1075.347296,0.166710
1079.076270,0.167210
1082.800829,0.167438
1086.520972,0.167701
1090.236699,0.168114
1093.948010,0.168779
1097.654906,0.168889
1102.590565,0.168932
1106.287158,0.169671
1109.979334,0.169676
1113.667096,0.168955
1117.350441,0.168909
1121.029371,0.169014
1124.703885,0.168001
1128.373984,0.167123
1132.039667,0.165792
1135.700934,0.163904
1140.575755,0.161193
1144.226718,0.158648
1147.873267,0.155926
1151.515399,0.152463
1155.153116,0.149094
1158.786417,0.145677
1162.415303,0.142968
1166.039773,0.140345
1169.659827,0.138160
1173.275465,0.135586
1176.886688,0.133356
1181.694783,0.130103
1185.295703,0.128405
1188.892206,0.126857
1192.484295,0.125409
1196.071967,0.123947
1199.655224,0.123002
1203.234065,0.122670
1206.808491,0.122197
1210.378500,0.122350
1213.944094,0.122294
1218.691351,0.123808
1222.246642,0.124922
1225.797517,0.126237
1229.343977,0.127299
1232.886021,0.128053
1236.423649,0.128666
1239.956861,0.129830
1243.485658,0.129911
1247.010039,0.130659
1250.530005,0.130619
1254.045554,0.130952
1258.726085,0.131315
1262.231332,0.131553
1265.732163,0.131887
1269.228578,0.132112
1272.720577,0.132527
1276.208161,0.132803
1279.691329,0.133094
1283.170082,0.133307
1286.644418,0.133809
1290.114340,0.134055
1294.734032,0.134212
1298.193650,0.134326
1301.648852,0.133858
1305.099639,0.133540
1308.546010,0.133237
1311.987965,0.132336
1315.425504,0.131239
1318.858628,0.129737
1322.287336,0.128313
1325.711628,0.126502
1329.131505,0.124016
1333.684472,0.120926
1337.094045,0.118094
1340.499203,0.115040
1343.899945,0.111841
1347.296272,0.108588
1350.688183,0.105242
1354.075678,0.101894
1357.458757,0.098973
1360.837421,0.096360
1364.211669,0.093997
1367.581501,0.092329
1372.067742,0.089469
1375.427272,0.087575
1378.782385,0.085290
1382.133083,0.082796
1385.479365,0.079452
1388.821231,0.075860
1392.158682,0.071344
1395.491717,0.066476
1398.820337,0.061117
1402.144540,0.055426
1406.569943,0.048085
1409.883843,0.043356
1413.193328,0.038404
1416.498397,0.034287
1419.799051,0.030770
1423.095289,0.028318
1426.387111,0.026060
1429.674517,0.024116
1432.957508,0.023140
1436.236083,0.022142
1439.510242,0.021246
1443.868919,0.020545
1447.132775,0.020446
1450.392216,0.020074
1453.647240,0.019834
1456.897849,0.019656
1460.144043,0.019520
1463.385821,0.019614
1466.623183,0.019550
1469.856129,0.019424
1473.084660,0.019689
1477.382498,0.019410
1480.600726,0.019775
1483.814538,0.019780
1487.023934,0.020064
1490.228914,0.020537
1493.429479,0.020840
1496.625628,0.020766
1499.817361,0.021113
1503.004679,0.021360
1506.187581,0.021598
1509.366067,0.021655
1513.597180,0.022227
1516.765363,0.022376
1519.929131,0.022524
1523.088482,0.022764
1526.243418,0.022943
1529.393939,0.023438
1532.540044,0.023063
1535.681733,0.023347
1538.819006,0.023507
1541.951864,0.023088
1546.122138,0.023237
1549.244693,0.023283
1552.362831,0.023411
1555.476554,0.023416
1558.585862,0.023405
1561.690753,0.023231
1564.791230,0.023727
1567.887290,0.023469
1570.978935,0.023705
1574.066163,0.023669
1577.148977,0.024042
1581.252526,0.023763
1584.325036,0.024035
1587.393130,0.024347
1590.456809,0.024577
1593.516072,0.024801
1596.570919,0.025342
1599.621351,0.025479
1602.667367,0.025971
1605.708967,0.026214
1608.746152,0.026082
1612.788862,0.026956
1615.815744,0.027083
1618.838209,0.027594
1621.856260,0.027396
1624.869894,0.028073
1627.879113,0.028725
1630.883915,0.028967
1633.884303,0.028961
1636.880274,0.029394
1639.871830,0.030087
1642.858971,0.030813
1646.834956,0.031123
1649.811793,0.031058
1652.784214,0.032026
1655.752220,0.032531
1658.715810,0.033185
1661.674984,0.035166
1664.629742,0.035814
1667.580085,0.039691
1670.526013,0.042960
1673.467524,0.045414
1677.382671,0.051796
1680.313879,0.054546
1683.240672,0.056793
1686.163049,0.059476
1689.081010,0.058552
1691.994556,0.059056
1694.903686,0.059394
1697.808400,0.054888
1700.708699,0.054034
