Wavelength (nm),Sample Signal (unitless)
901.663021,8637.000000
905.592173,9360.000000
909.516909,9956.000000
913.437229,10868.000000
917.353134,11751.000000
921.264622,13009.000000
925.171696,14420.000000
929.074353,15919.000000
932.972595,17542.000000
938.163382,19381.000000
942.051321,20939.000000
945.934844,22315.000000
949.813951,23754.000000
953.688643,24725.000000
957.558919,25893.000000
961.424779,26873.000000
965.286223,27569.000000
969.143252,28284.000000
972.995866,28562.000000
978.125814,29118.000000
981.968124,29325.000000
985.806019,29471.000000
989.639497,29486.000000
993.468560,29576.000000
997.293207,29327.000000
1001.113439,29109.000000
1004.929255,28972.000000
1008.740655,29048.000000
1012.547640,28931.000000
1016.350208,28945.000000
1021.413431,29172.000000
1025.205697,29349.000000
1028.993547,29279.000000
1032.776981,29573.000000
1036.556000,29758.000000
1040.330603,30118.000000
1044.100790,30403.000000
1047.866561,30752.000000
1051.627917,30944.000000
1055.384857,31395.000000
1060.387242,31664.000000
1064.133879,32030.000000
1067.876100,32211.000000
1071.613906,32487.000000
1075.347296,32725.000000
1079.076270,32889.000000
1082.800829,33077.000000
1086.520972,33210.000000
1090.236699,33526.000000
1093.948010,33925.000000
1097.654906,33895.000000
1102.590565,34241.000000
1106.287158,34561.000000
1109.979334,34628.000000
1113.667096,34666.000000
1117.350441,34922.000000
1121.029371,34894.000000
1124.703885,34759.000000
1128.373984,34696.000000
1132.039667,34621.000000
1135.700934,34347.000000
1140.575755,33864.000000
1144.226718,33275.000000
1147.873267,33051.000000
1151.515399,32422.000000
1155.153116,31881.000000
1158.786417,31389.000000
1162.415303,30909.000000
1166.039773,30806.000000
1169.659827,30215.000000
1173.275465,30014.000000
1176.886688,29927.000000
1181.694783,29705.000000
1185.295703,29731.000000
1188.892206,29844.000000
1192.484295,29815.000000
1196.071967,29896.000000
1199.655224,30249.000000
1203.234065,30443.000000
1206.808491,31015.000000
1210.378500,31315.000000
1213.944094,31889.000000
1218.691351,32888.000000
1222.246642,33283.000000
1225.797517,34062.000000
1229.343977,34857.000000
1232.886021,35401.000000
1236.423649,36117.000000
1239.956861,36694.000000
1243.485658,37270.000000
1247.010039,37685.000000
1250.530005,38147.000000
1254.045554,38680.000000
1258.726085,39384.000000
1262.231332,39734.000000
1265.732163,40194.000000
1269.228578,40603.000000
1272.720577,40973.000000
1276.208161,41672.000000
1279.691329,41877.000000
1283.170082,42494.000000
1286.644418,42875.000000
1290.114340,43249.000000
1294.734032,43393.000000
1298.193650,43764.000000
1301.648852,43814.000000
1305.099639,43882.000000
1308.546010,43676.000000
1311.987965,43539.000000
1315.425504,43502.000000
1318.858628,42917.000000
1322.287336,42442.000000
1325.711628,41937.000000
1329.131505,41250.000000
1333.684472,40036.000000
1337.094045,39133.000000
1340.499203,38174.000000
1343.899945,37181.000000
1347.296272,36146.000000
1350.688183,35163.000000
1354.075678,33936.000000
1357.458757,32899.000000
1360.837421,32184.000000
1364.211669,31504.000000
1367.581501,30955.000000
1372.067742,30136.000000
1375.427272,29461.000000
1378.782385,28418.000000
1382.133083,27530.000000
1385.479365,26467.000000
1388.821231,25426.000000
1392.158682,24320.000000
1395.491717,23142.000000
1398.820337,22033.000000
1402.144540,20966.000000
1406.569943,19466.000000
1409.883843,18250.000000
1413.193328,17442.000000
1416.498397,16664.000000
1419.799051,16105.000000
1423.095289,15414.000000
1426.387111,14925.000000
1429.674517,14731.000000
1432.957508,14319.000000
1436.236083,14089.000000
1439.510242,13851.000000
1443.868919,13803.000000
1447.132775,13660.000000
1450.392216,13669.000000
1453.647240,13436.000000
1456.897849,13368.000000
1460.144043,13281.000000
1463.385821,13166.000000
1466.623183,13125.000000
1469.856129,13020.000000
1473.084660,12773.000000
1477.382498,13047.000000
1480.600726,12898.000000
1483.814538,12835.000000
1487.023934,12827.000000
1490.228914,12806.000000
1493.429479,12569.000000
1496.625628,12476.000000
1499.817361,12497.000000
1503.004679,12498.000000
1506.187581,12391.000000
1509.366067,12238.000000
1513.597180,12429.000000
1516.765363,12234.000000
1519.929131,12028.000000
1523.088482,12127.000000
1526.243418,12115.000000
1529.393939,12126.000000
1532.540044,11833.000000
1535.681733,11876.000000
1538.819006,11498.000000
1541.951864,11518.000000
1546.122138,11232.000000
1549.244693,11236.000000
1552.362831,10884.000000
1555.476554,10852.000000
1558.585862,10547.000000
1561.690753,10297.000000
1564.791230,10280.000000
1567.887290,10248.000000
1570.978935,9938.000000
1574.066163,10112.000000
1577.148977,9765.000000
1581.252526,9614.000000
1584.325036,9451.000000
1587.393130,9263.000000
1590.456809,9078.000000
1593.516072,8923.000000
1596.570919,8742.000000
1599.621351,8774.000000
1602.667367,8585.000000
1605.708967,8339.000000
1608.746152,8196.000000
1612.788862,8089.000000
1615.815744,7786.000000
1618.838209,7857.000000
1621.856260,7629.000000
1624.869894,7485.000000
1627.879113,7386.000000
1630.883915,7066.000000
1633.884303,7025.000000
1636.880274,6907.000000
1639.871830,6630.000000
1642.858971,6553.000000
1646.834956,6430.000000
1649.811793,6004.000000
1652.784214,5994.000000
1655.752220,6010.000000
1658.715810,5594.000000
1661.674984,5624.000000
1664.629742,5390.000000
1667.580085,5207.000000
1670.526013,5054.000000
1673.467524,4640.000000
1677.382671,4262.000000
1680.313879,3908.000000
1683.240672,3664.000000
1686.163049,3141.000000
1689.081010,2585.000000
1691.994556,2358.000000
1694.903686,1985.000000
1697.808400,1695.000000
1700.708699,1440.000000
