Wavelength (nm),Sample Signal (unitless)
901.663021,17581.000000
905.592173,19274.000000
909.516909,20702.000000
913.437229,22632.000000
917.353134,24887.000000
921.264622,27264.000000
925.171696,30600.000000
929.074353,33561.000000
932.972595,37169.000000
938.163382,41404.000000
942.051321,44663.000000
945.934844,47357.000000
949.813951,50541.000000
953.688643,53205.000000
957.558919,55978.000000
961.424779,58342.000000
965.286223,60325.000000
969.143252,61819.000000
972.995866,63086.000000
978.125814,64498.000000
981.968124,65331.000000
985.806019,65970.000000
989.639497,66296.000000
993.468560,66304.000000
997.293207,65859.000000
1001.113439,65696.000000
1004.929255,65388.000000
1008.740655,65088.000000
1012.547640,65004.000000
1016.350208,65014.000000
1021.413431,64982.000000
1025.205697,65155.000000
1028.993547,65373.000000
1032.776981,65574.000000
1036.556000,66249.000000
1040.330603,66672.000000
1044.100790,67021.000000
1047.866561,67770.000000
1051.627917,68276.000000
1055.384857,68787.000000
1060.387242,69586.000000
1064.133879,70169.000000
1067.876100,70723.000000
1071.613906,71022.000000
1075.347296,71472.000000
1079.076270,72113.000000
1082.800829,72495.000000
1086.520972,72964.000000
1090.236699,73105.000000
1093.948010,73561.000000
1097.654906,73962.000000
1102.590565,74261.000000
1106.287158,74472.000000
1109.979334,74940.000000
1113.667096,75221.000000
1117.350441,75245.000000
1121.029371,75502.000000
1124.703885,75311.000000
1128.373984,75402.000000
1132.039667,75142.000000
1135.700934,74998.000000
1140.575755,74594.000000
1144.226718,74075.000000
1147.873267,73471.000000
1151.515399,72747.000000
1155.153116,72302.000000
1158.786417,71431.000000
1162.415303,71027.000000
1166.039773,70537.000000
1169.659827,70477.000000
1173.275465,70085.000000
1176.886688,69733.000000
1181.694783,69407.000000
1185.295703,69211.000000
1188.892206,69540.000000
1192.484295,69662.000000
1196.071967,70256.000000
1199.655224,71034.000000
1203.234065,71651.000000
1206.808491,72530.000000
1210.378500,73580.000000
1213.944094,74790.000000
1218.691351,76235.000000
1222.246642,77889.000000
1225.797517,79430.000000
1229.343977,81024.000000
1232.886021,82635.000000
1236.423649,84208.000000
1239.956861,85563.000000
1243.485658,86716.000000
1247.010039,87700.000000
1250.530005,88538.000000
1254.045554,89298.000000
1258.726085,90658.000000
1262.231332,91336.000000
1265.732163,92516.000000
1269.228578,93409.000000
1272.720577,94482.000000
1276.208161,95215.000000
1279.691329,96335.000000
1283.170082,97144.000000
1286.644418,97910.000000
1290.114340,98628.000000
1294.734032,99202.000000
1298.193650,99780.000000
1301.648852,100110.000000
1305.099639,100261.000000
1308.546010,100664.000000
1311.987965,100521.000000
1315.425504,100490.000000
1318.858628,99845.000000
1322.287336,99232.000000
1325.711628,98235.000000
1329.131505,96929.000000
1333.684472,95203.000000
1337.094045,93511.000000
1340.499203,91654.000000
1343.899945,89706.000000
1347.296272,87597.000000
1350.688183,85464.000000
1354.075678,83105.000000
1357.458757,81014.000000
1360.837421,78789.000000
1364.211669,77173.000000
1367.581501,75652.000000
1372.067742,74045.000000
1375.427272,72152.000000
1378.782385,70294.000000
1382.133083,68312.000000
1385.479365,65893.000000
1388.821231,63455.000000
1392.158682,60601.000000
1395.491717,57900.000000
1398.820337,55029.000000
1402.144540,51666.000000
1406.569943,46639.000000
1409.883843,42523.000000
1413.193328,38565.000000
1416.498397,34859.000000
1419.799051,31549.000000
1423.095289,28709.000000
1426.387111,26771.000000
1429.674517,24889.000000
1432.957508,23282.000000
1436.236083,22067.000000
1439.510242,21095.000000
1443.868919,20415.000000
1447.132775,19901.000000
1450.392216,19281.000000
1453.647240,18930.000000
1456.897849,18825.000000
1460.144043,18386.000000
1463.385821,18169.000000
1466.623183,17810.000000
1469.856129,17575.000000
1473.084660,17453.000000
1477.382498,17530.000000
1480.600726,17105.000000
1483.814538,17113.000000
1487.023934,17026.000000
1490.228914,17000.000000
1493.429479,17040.000000
1496.625628,17167.000000
1499.817361,17290.000000
1503.004679,17188.000000
1506.187581,17267.000000
1509.366067,17188.000000
1513.597180,17010.000000
1516.765363,17000.000000
1519.929131,16975.000000
1523.088482,17008.000000
1526.243418,16875.000000
1529.393939,16940.000000
1532.540044,16492.000000
1535.681733,16562.000000
1538.819006,16339.000000
1541.951864,16214.000000
1546.122138,16020.000000
1549.244693,16009.000000
1552.362831,15691.000000
1555.476554,15226.000000
1558.585862,15173.000000
1561.690753,14782.000000
1564.791230,14591.000000
1567.887290,14328.000000
1570.978935,14061.000000
1574.066163,13823.000000
1577.148977,13581.000000
1581.252526,13400.000000
1584.325036,13290.000000
1587.393130,13247.000000
1590.456809,12899.000000
1593.516072,12784.000000
1596.570919,13009.000000
1599.621351,12784.000000
1602.667367,12549.000000
1605.708967,12513.000000
1608.746152,12485.000000
1612.788862,12377.000000
1615.815744,12214.000000
1618.838209,12242.000000
1621.856260,12134.000000
1624.869894,12124.000000
1627.879113,12045.000000
1630.883915,11855.000000
1633.884303,11741.000000
1636.880274,11526.000000
1639.871830,11313.000000
1642.858971,11374.000000
1646.834956,11026.000000
1649.811793,10964.000000
1652.784214,10663.000000
1655.752220,10655.000000
1658.715810,10259.000000
1661.674984,9989.000000
1664.629742,9879.000000
1667.580085,9295.000000
1670.526013,8886.000000
1673.467524,8420.000000
1677.382671,7251.000000
1680.313879,6505.000000
1683.240672,5614.000000
1686.163049,5072.000000
1689.081010,4151.000000
1691.994556,3544.000000
1694.903686,3061.000000
1697.808400,2601.000000
1700.708699,2265.000000
