Wavelength (nm),Reflectance (AU)
901.663021,0.134471
905.592173,0.133189
909.516909,0.134089
913.437229,0.132351
917.353134,0.131031
921.264622,0.131467
925.171696,0.131880
929.074353,0.130178
932.972595,0.131907
938.163382,0.131690
942.051321,0.131763
945.934844,0.131876
949.813951,0.131586
953.688643,0.131563
957.558919,0.131458
961.424779,0.131236
965.286223,0.130402
969.143252,0.129206
972.995866,0.128035
978.125814,0.126266
981.968124,0.125721
985.806019,0.125032
989.639497,0.123762
993.468560,0.122573
997.293207,0.122837
1001.113439,0.122539
1004.929255,0.123186
1008.740655,0.123429
1012.547640,0.123216
1016.350208,0.123728
1021.413431,0.124042
1025.205697,0.124541
1028.993547,0.124732
1032.776981,0.125006
1036.556000,0.125525
1040.330603,0.125914
1044.100790,0.126610
1047.866561,0.127208
1051.627917,0.127262
1055.384857,0.127768
1060.387242,0.128096
1064.133879,0.128550
1067.876100,0.128838
1071.613906,0.129456
1075.347296,0.129848
1079.076270,0.130112
1082.800829,0.130232
1086.520972,0.130504
1090.236699,0.130708
1093.948010,0.130766
1097.654906,0.130898
1102.590565,0.131433
1106.287158,0.132106
1109.979334,0.132249
1113.667096,0.132400
1117.350441,0.132240
1121.029371,0.132372
1124.703885,0.132141
1128.373984,0.131784
1132.039667,0.130502
1135.700934,0.130281
1140.575755,0.128736
1144.226718,0.126991
1147.873267,0.125137
1151.515399,0.123085
1155.153116,0.121195
1158.786417,0.118937
1162.415303,0.117298
1166.039773,0.115719
1169.659827,0.114228
1173.275465,0.112031
1176.886688,0.110948
1181.694783,0.109199
1185.295703,0.107670
1188.892206,0.106708
1192.484295,0.105884
1196.071967,0.105423
1199.655224,0.104882
1203.234065,0.104619
1206.808491,0.104056
1210.378500,0.103952
1213.944094,0.104166
1218.691351,0.104310
1222.246642,0.104893
1225.797517,0.105540
1229.343977,0.105814
1232.886021,0.106301
1236.423649,0.107069
1239.956861,0.106952
1243.485658,0.106982
1247.010039,0.107071
1250.530005,0.106895
1254.045554,0.106813
1258.726085,0.106791
1262.231332,0.106799
1265.732163,0.106687
1269.228578,0.106735
1272.720577,0.107083
1276.208161,0.107279
1279.691329,0.107477
1283.170082,0.107589
1286.644418,0.107884
1290.114340,0.107970
1294.734032,0.108042
1298.193650,0.108138
1301.648852,0.108160
1305.099639,0.108119
1308.546010,0.108145
1311.987965,0.107573
1315.425504,0.106899
1318.858628,0.106348
1322.287336,0.105446
1325.711628,0.104582
1329.131505,0.103412
1333.684472,0.101383
1337.094045,0.099591
1340.499203,0.098122
1343.899945,0.096224
1347.296272,0.093986
1350.688183,0.091908
1354.075678,0.089983
1357.458757,0.088105
1360.837421,0.086360
1364.211669,0.085085
1367.581501,0.083661
1372.067742,0.082410
1375.427272,0.081468
1378.782385,0.080150
1382.133083,0.079155
1385.479365,0.077764
1388.821231,0.075696
1392.158682,0.073453
1395.491717,0.070877
1398.820337,0.068103
1402.144540,0.065202
1406.569943,0.060589
1409.883843,0.057315
1413.193328,0.054144
1416.498397,0.051078
1419.799051,0.048588
1423.095289,0.046246
1426.387111,0.044654
1429.674517,0.042927
1432.957508,0.041775
1436.236083,0.040834
1439.510242,0.040057
1443.868919,0.039549
1447.132775,0.039046
1450.392216,0.038507
1453.647240,0.038096
1456.897849,0.037714
1460.144043,0.037427
1463.385821,0.037507
1466.623183,0.037099
1469.856129,0.037035
1473.084660,0.036828
1477.382498,0.036873
1480.600726,0.036694
1483.814538,0.036455
1487.023934,0.036442
1490.228914,0.036420
1493.429479,0.036454
1496.625628,0.036651
1499.817361,0.036641
1503.004679,0.036713
1506.187581,0.036724
1509.366067,0.036944
1513.597180,0.037154
1516.765363,0.037167
1519.929131,0.037394
1523.088482,0.037361
1526.243418,0.037365
1529.393939,0.037319
1532.540044,0.037578
1535.681733,0.037631
1538.819006,0.037420
1541.951864,0.037258
1546.122138,0.037155
1549.244693,0.037419
1552.362831,0.037410
1555.476554,0.037173
1558.585862,0.037440
1561.690753,0.037376
1564.791230,0.037245
1567.887290,0.037449
1570.978935,0.037001
1574.066163,0.036990
1577.148977,0.037138
1581.252526,0.037312
1584.325036,0.037393
1587.393130,0.037501
1590.456809,0.037797
1593.516072,0.037952
1596.570919,0.037830
1599.621351,0.038010
1602.667367,0.038440
1605.708967,0.038833
1608.746152,0.038595
1612.788862,0.039464
1615.815744,0.039345
1618.838209,0.039810
1621.856260,0.039795
1624.869894,0.040164
1627.879113,0.040566
1630.883915,0.040451
1633.884303,0.040608
1636.880274,0.041183
1639.871830,0.041424
1642.858971,0.041998
1646.834956,0.041749
1649.811793,0.042506
1652.784214,0.042936
1655.752220,0.043615
1658.715810,0.045001
1661.674984,0.047027
1664.629742,0.049217
1667.580085,0.051788
1670.526013,0.056295
1673.467524,0.060269
1677.382671,0.067796
1680.313879,0.072256
1683.240672,0.075063
1686.163049,0.078835
1689.081010,0.079883
1691.994556,0.076587
1694.903686,0.076654
1697.808400,0.077922
1700.708699,0.072539
