Wavelength (nm),Sample Signal (unitless)
901.663021,17542.000000
905.592173,19160.000000
909.516909,20727.000000
913.437229,22472.000000
917.353134,24848.000000
921.264622,27749.000000
925.171696,30829.000000
929.074353,34076.000000
932.972595,37617.000000
938.163382,42108.000000
942.051321,45472.000000
945.934844,48621.000000
949.813951,51598.000000
953.688643,54694.000000
957.558919,57383.000000
961.424779,59941.000000
965.286223,62162.000000
969.143252,63830.000000
972.995866,65203.000000
978.125814,66605.000000
981.968124,67371.000000
985.806019,68081.000000
989.639497,68664.000000
993.468560,68826.000000
997.293207,68641.000000
1001.113439,68373.000000
1004.929255,68229.000000
1008.740655,68228.000000
1012.547640,68203.000000
1016.350208,68360.000000
1021.413431,68697.000000
1025.205697,68938.000000
1028.993547,69091.000000
1032.776981,69531.000000
1036.556000,70274.000000
1040.330603,70621.000000
1044.100790,71461.000000
1047.866561,71985.000000
1051.627917,72595.000000
1055.384857,73029.000000
1060.387242,74096.000000
1064.133879,74382.000000
1067.876100,74740.000000
1071.613906,75512.000000
1075.347296,75825.000000
1079.076270,76139.000000
1082.800829,76788.000000
1086.520972,77156.000000
1090.236699,77332.000000
1093.948010,77900.000000
1097.654906,78189.000000
1102.590565,78452.000000
1106.287158,78760.000000
1109.979334,79048.000000
1113.667096,79013.000000
1117.350441,79063.000000
1121.029371,79131.000000
1124.703885,79151.000000
1128.373984,78885.000000
1132.039667,78670.000000
1135.700934,78351.000000
1140.575755,77580.000000
1144.226718,77117.000000
1147.873267,76413.000000
1151.515399,75739.000000
1155.153116,74953.000000
1158.786417,74140.000000
1162.415303,73435.000000
1166.039773,73059.000000
1169.659827,72847.000000
1173.275465,72483.000000
1176.886688,72537.000000
1181.694783,72384.000000
1185.295703,72653.000000
1188.892206,72793.000000
1192.484295,73273.000000
1196.071967,73553.000000
1199.655224,74399.000000
1203.234065,74955.000000
1206.808491,75965.000000
1210.378500,77040.000000
1213.944094,78248.000000
1218.691351,79978.000000
1222.246642,81678.000000
1225.797517,83359.000000
1229.343977,84955.000000
1232.886021,86483.000000
1236.423649,87996.000000
1239.956861,89333.000000
1243.485658,90546.000000
1247.010039,91874.000000
1250.530005,93011.000000
1254.045554,94041.000000
1258.726085,95161.000000
1262.231332,96247.000000
1265.732163,97269.000000
1269.228578,98448.000000
1272.720577,99569.000000
1276.208161,100283.000000
1279.691329,101309.000000
1283.170082,102336.000000
1286.644418,103430.000000
1290.114340,104125.000000
1294.734032,104900.000000
1298.193650,105587.000000
1301.648852,105652.000000
1305.099639,105765.000000
1308.546010,105941.000000
1311.987965,105778.000000
1315.425504,105304.000000
1318.858628,104821.000000
1322.287336,104023.000000
1325.711628,103020.000000
1329.131505,101609.000000
1333.684472,99778.000000
1337.094045,98369.000000
1340.499203,96589.000000
1343.899945,94617.000000
1347.296272,92501.000000
1350.688183,90534.000000
1354.075678,88146.000000
1357.458757,85950.000000
1360.837421,84237.000000
1364.211669,82706.000000
1367.581501,81296.000000
1372.067742,79517.000000
1375.427272,78091.000000
1378.782385,76191.000000
1382.133083,74180.000000
1385.479365,72104.000000
1388.821231,69800.000000
1392.158682,67114.000000
1395.491717,64540.000000
1398.820337,61874.000000
1402.144540,58904.000000
1406.569943,54577.000000
1409.883843,51472.000000
1413.193328,48257.000000
1416.498397,45271.000000
1419.799051,42739.000000
1423.095289,40409.000000
1426.387111,38857.000000
1429.674517,37099.000000
1432.957508,35869.000000
1436.236083,34786.000000
1439.510242,33931.000000
1443.868919,33245.000000
1447.132775,33001.000000
1450.392216,32624.000000
1453.647240,32475.000000
1456.897849,32116.000000
1460.144043,31948.000000
1463.385821,31924.000000
1466.623183,31624.000000
1469.856129,31493.000000
1473.084660,31464.000000
1477.382498,31325.000000
1480.600726,31282.000000
1483.814538,31416.000000
1487.023934,31540.000000
1490.228914,31437.000000
1493.429479,31701.000000
1496.625628,31652.000000
1499.817361,31520.000000
1503.004679,31571.000000
1506.187581,31728.000000
1509.366067,31467.000000
1513.597180,31786.000000
1516.765363,31565.000000
1519.929131,31671.000000
1523.088482,31343.000000
1526.243418,31259.000000
1529.393939,31110.000000
1532.540044,30915.000000
1535.681733,30511.000000
1538.819006,30235.000000
1541.951864,29922.000000
1546.122138,29418.000000
1549.244693,29067.000000
1552.362831,28633.000000
1555.476554,28301.000000
1558.585862,27793.000000
1561.690753,27438.000000
1564.791230,27026.000000
1567.887290,26731.000000
1570.978935,26306.000000
1574.066163,25833.000000
1577.148977,25576.000000
1581.252526,25084.000000
1584.325036,24766.000000
1587.393130,24397.000000
1590.456809,24150.000000
1593.516072,23674.000000
1596.570919,23340.000000
1599.621351,23041.000000
1602.667367,22711.000000
1605.708967,22447.000000
1608.746152,22160.000000
1612.788862,21764.000000
1615.815744,21676.000000
1618.838209,21273.000000
1621.856260,20883.000000
1624.869894,20454.000000
1627.879113,20129.000000
1630.883915,19731.000000
1633.884303,19358.000000
1636.880274,18926.000000
1639.871830,18510.000000
1642.858971,18321.000000
1646.834956,17663.000000
1649.811793,17286.000000
1652.784214,16907.000000
1655.752220,16258.000000
1658.715810,15944.000000
1661.674984,15482.000000
1664.629742,14598.000000
1667.580085,13752.000000
1670.526013,12861.000000
1673.467524,11798.000000
1677.382671,10204.000000
1680.313879,8777.000000
1683.240672,7565.000000
1686.163049,6441.000000
1689.081010,5381.000000
1691.994556,4470.000000
1694.903686,3798.000000
1697.808400,3408.000000
1700.708699,2898.000000
