Wavelength (nm),Absorbance (AU)
901.663021,0.927907
905.592173,0.928801
909.516909,0.930847
913.437229,0.932178
917.353134,0.938486
921.264622,0.939785
925.171696,0.939132
929.074353,0.939860
932.972595,0.939081
938.163382,0.938332
942.051321,0.938309
945.934844,0.940298
949.813951,0.936797
953.688643,0.939558
957.558919,0.938952
961.424779,0.937831
965.286223,0.942404
969.143252,0.946555
972.995866,0.946128
978.125814,0.951179
981.968124,0.956721
985.806019,0.958668
989.639497,0.958789
993.468560,0.962865
997.293207,0.962986
1001.113439,0.964165
1004.929255,0.962657
1008.740655,0.960874
1012.547640,0.960126
1016.350208,0.958598
1021.413431,0.956557
1025.205697,0.954566
1028.993547,0.954402
1032.776981,0.951299
1036.556000,0.949736
1040.330603,0.948394
1044.100790,0.946242
1047.866561,0.944897
1051.627917,0.942506
1055.384857,0.941881
1060.387242,0.939922
1064.133879,0.938066
1067.876100,0.937249
1071.613906,0.935555
1075.347296,0.934100
1079.076270,0.932688
1082.800829,0.931501
1086.520972,0.930544
1090.236699,0.930425
1093.948010,0.928673
1097.654906,0.927834
1102.590565,0.926848
1106.287158,0.927467
1109.979334,0.926393
1113.667096,0.927288
1117.350441,0.927270
1121.029371,0.927460
1124.703885,0.928722
1128.373984,0.929665
1132.039667,0.933623
1135.700934,0.935114
1140.575755,0.941515
1144.226718,0.947493
1147.873267,0.953025
1151.515399,0.960025
1155.153116,0.967121
1158.786417,0.974194
1162.415303,0.981433
1166.039773,0.987259
1169.659827,0.993111
1173.275465,0.998004
1176.886688,1.005432
1181.694783,1.011576
1185.295703,1.016514
1188.892206,1.020741
1192.484295,1.024593
1196.071967,1.026741
1199.655224,1.028767
1203.234065,1.029953
1206.808491,1.031137
1210.378500,1.031824
1213.944094,1.031461
1218.691351,1.030255
1222.246642,1.028711
1225.797517,1.025990
1229.343977,1.025295
1232.886021,1.022320
1236.423649,1.021453
1239.956861,1.019217
1243.485658,1.019487
1247.010039,1.018760
1250.530005,1.018530
1254.045554,1.019345
1258.726085,1.017988
1262.231332,1.018961
1265.732163,1.017700
1269.228578,1.016797
1272.720577,1.016618
1276.208161,1.014925
1279.691329,1.013866
1283.170082,1.014493
1286.644418,1.014453
1290.114340,1.013787
1294.734032,1.013191
1298.193650,1.011342
1301.648852,1.011265
1305.099639,1.010915
1308.546010,1.012384
1311.987965,1.014302
1315.425504,1.017448
1318.858628,1.020658
1322.287336,1.024396
1325.711628,1.028732
1329.131505,1.033991
1333.684472,1.041346
1337.094045,1.047697
1340.499203,1.054061
1343.899945,1.062441
1347.296272,1.071299
1350.688183,1.080917
1354.075678,1.091784
1357.458757,1.101574
1360.837421,1.107537
1364.211669,1.115694
1367.581501,1.119424
1372.067742,1.126701
1375.427272,1.130682
1378.782385,1.136446
1382.133083,1.142938
1385.479365,1.152052
1388.821231,1.162978
1392.158682,1.175561
1395.491717,1.190307
1398.820337,1.208705
1402.144540,1.228326
1406.569943,1.255227
1409.883843,1.276785
1413.193328,1.298635
1416.498397,1.320850
1419.799051,1.340539
1423.095289,1.358718
1426.387111,1.376626
1429.674517,1.392095
1432.957508,1.401310
1436.236083,1.411880
1439.510242,1.419447
1443.868919,1.425570
1447.132775,1.430069
1450.392216,1.431600
1453.647240,1.436527
1456.897849,1.434948
1460.144043,1.440015
1463.385821,1.440027
1466.623183,1.439873
1469.856129,1.440183
1473.084660,1.440909
1477.382498,1.443686
1480.600726,1.439983
1483.814538,1.440170
1487.023934,1.440500
1490.228914,1.438048
1493.429479,1.436970
1496.625628,1.435843
1499.817361,1.433703
1503.004679,1.429077
1506.187581,1.428022
1509.366067,1.425373
1513.597180,1.423758
1516.765363,1.424094
1519.929131,1.423129
1523.088482,1.424029
1526.243418,1.418780
1529.393939,1.419919
1532.540044,1.423262
1535.681733,1.416791
1538.819006,1.420458
1541.951864,1.421006
1546.122138,1.420407
1549.244693,1.418234
1552.362831,1.417795
1555.476554,1.417539
1558.585862,1.417309
1561.690753,1.421309
1564.791230,1.416706
1567.887290,1.414997
1570.978935,1.414902
1574.066163,1.418798
1577.148977,1.418425
1581.252526,1.415627
1584.325036,1.414505
1587.393130,1.412349
1590.456809,1.409920
1593.516072,1.408426
1596.570919,1.407321
1599.621351,1.405894
1602.667367,1.399112
1605.708967,1.394203
1608.746152,1.400561
1612.788862,1.396469
1615.815744,1.396178
1618.838209,1.396634
1621.856260,1.387647
1624.869894,1.388675
1627.879113,1.385159
1630.883915,1.386294
1633.884303,1.383204
1636.880274,1.377910
1639.871830,1.373838
1642.858971,1.374389
1646.834956,1.365642
1649.811793,1.362124
1652.784214,1.354219
1655.752220,1.344748
1658.715810,1.332722
1661.674984,1.324713
1664.629742,1.300866
1667.580085,1.275116
1670.526013,1.239887
1673.467524,1.198034
1677.382671,1.163686
1680.313879,1.122476
1683.240672,1.114959
1686.163049,1.094304
1689.081010,1.093825
1691.994556,1.108479
1694.903686,1.105830
1697.808400,1.123360
1700.708699,1.099109
