Wavelength (nm),Sample Signal (unitless)
901.663021,14472.000000
905.592173,15889.000000
909.516909,17312.000000
913.437229,18705.000000
917.353134,20442.000000
921.264622,22442.000000
925.171696,25084.000000
929.074353,27936.000000
932.972595,30815.000000
938.163382,34504.000000
942.051321,37514.000000
945.934844,40049.000000
949.813951,43009.000000
953.688643,45648.000000
957.558919,47937.000000
961.424779,50160.000000
965.286223,52223.000000
969.143252,53623.000000
972.995866,55014.000000
978.125814,56242.000000
981.968124,57106.000000
985.806019,57709.000000
989.639497,57943.000000
993.468560,58072.000000
997.293207,57794.000000
1001.113439,57801.000000
1004.929255,57830.000000
1008.740655,57568.000000
1012.547640,57462.000000
1016.350208,57723.000000
1021.413431,57872.000000
1025.205697,57820.000000
1028.993547,58200.000000
1032.776981,58619.000000
1036.556000,58969.000000
1040.330603,59607.000000
1044.100790,60103.000000
1047.866561,60511.000000
1051.627917,60999.000000
1055.384857,61324.000000
1060.387242,61791.000000
1064.133879,62321.000000
1067.876100,62686.000000
1071.613906,63041.000000
1075.347296,63261.000000
1079.076270,63552.000000
1082.800829,63942.000000
1086.520972,64350.000000
1090.236699,64528.000000
1093.948010,64861.000000
1097.654906,65037.000000
1102.590565,65319.000000
1106.287158,65333.000000
1109.979334,65427.000000
1113.667096,65483.000000
1117.350441,65603.000000
1121.029371,65639.000000
1124.703885,65672.000000
1128.373984,65564.000000
1132.039667,65239.000000
1135.700934,64977.000000
1140.575755,64472.000000
1144.226718,64067.000000
1147.873267,63563.000000
1151.515399,62881.000000
1155.153116,62289.000000
1158.786417,61672.000000
1162.415303,61304.000000
1166.039773,60823.000000
1169.659827,60415.000000
1173.275465,60442.000000
1176.886688,60069.000000
1181.694783,59947.000000
1185.295703,60183.000000
1188.892206,60266.000000
1192.484295,60416.000000
1196.071967,60946.000000
1199.655224,61675.000000
1203.234065,62262.000000
1206.808491,62897.000000
1210.378500,63940.000000
1213.944094,65194.000000
1218.691351,66624.000000
1222.246642,68061.000000
1225.797517,69650.000000
1229.343977,71076.000000
1232.886021,72439.000000
1236.423649,73872.000000
1239.956861,74948.000000
1243.485658,76066.000000
1247.010039,77214.000000
1250.530005,78140.000000
1254.045554,78915.000000
1258.726085,80289.000000
1262.231332,81171.000000
1265.732163,82182.000000
1269.228578,82987.000000
1272.720577,84073.000000
1276.208161,84785.000000
1279.691329,85696.000000
1283.170082,86655.000000
1286.644418,87241.000000
1290.114340,87829.000000
1294.734032,88733.000000
1298.193650,89166.000000
1301.648852,89536.000000
1305.099639,89700.000000
1308.546010,89829.000000
1311.987965,89706.000000
1315.425504,89452.000000
1318.858628,88985.000000
1322.287336,88363.000000
1325.711628,87716.000000
1329.131505,86667.000000
1333.684472,85224.000000
1337.094045,83948.000000
1340.499203,82367.000000
1343.899945,80604.000000
1347.296272,78896.000000
1350.688183,76935.000000
1354.075678,74987.000000
1357.458757,73319.000000
1360.837421,71676.000000
1364.211669,70328.000000
1367.581501,69175.000000
1372.067742,67593.000000
1375.427272,66272.000000
1378.782385,64857.000000
1382.133083,63325.000000
1385.479365,61035.000000
1388.821231,58979.000000
1392.158682,56870.000000
1395.491717,54463.000000
1398.820337,51991.000000
1402.144540,49426.000000
1406.569943,45741.000000
1409.883843,43019.000000
1413.193328,40363.000000
1416.498397,37992.000000
1419.799051,36128.000000
1423.095289,34589.000000
1426.387111,33466.000000
1429.674517,32581.000000
1432.957508,32013.000000
1436.236083,31624.000000
1439.510242,31423.000000
1443.868919,31213.000000
1447.132775,31091.000000
1450.392216,30665.000000
1453.647240,30824.000000
1456.897849,30613.000000
1460.144043,30583.000000
1463.385821,30253.000000
1466.623183,30398.000000
1469.856129,30254.000000
1473.084660,30357.000000
1477.382498,30194.000000
1480.600726,30051.000000
1483.814538,29842.000000
1487.023934,29538.000000
1490.228914,29653.000000
1493.429479,29423.000000
1496.625628,29256.000000
1499.817361,29310.000000
1503.004679,29073.000000
1506.187581,29046.000000
1509.366067,28925.000000
1513.597180,28626.000000
1516.765363,28227.000000
1519.929131,28212.000000
1523.088482,28011.000000
1526.243418,27862.000000
1529.393939,27763.000000
1532.540044,27472.000000
1535.681733,27240.000000
1538.819006,27035.000000
1541.951864,26731.000000
1546.122138,26453.000000
1549.244693,25956.000000
1552.362831,25731.000000
1555.476554,25134.000000
1558.585862,24894.000000
1561.690753,24369.000000
1564.791230,24125.000000
1567.887290,23889.000000
1570.978935,23418.000000
1574.066163,23293.000000
1577.148977,22843.000000
1581.252526,22274.000000
1584.325036,22145.000000
1587.393130,21716.000000
1590.456809,21606.000000
1593.516072,21199.000000
1596.570919,20979.000000
1599.621351,20730.000000
1602.667367,20428.000000
1605.708967,20035.000000
1608.746152,19740.000000
1612.788862,19395.000000
1615.815744,19183.000000
1618.838209,18866.000000
1621.856260,18667.000000
1624.869894,18130.000000
1627.879113,17980.000000
1630.883915,17736.000000
1633.884303,17356.000000
1636.880274,17153.000000
1639.871830,16585.000000
1642.858971,16413.000000
1646.834956,16063.000000
1649.811793,15709.000000
1652.784214,15391.000000
1655.752220,15071.000000
1658.715810,14754.000000
1661.674984,14209.000000
1664.629742,13966.000000
1667.580085,13381.000000
1670.526013,12811.000000
1673.467524,12189.000000
1677.382671,11140.000000
1680.313879,9930.000000
1683.240672,8896.000000
1686.163049,7768.000000
1689.081010,6701.000000
1691.994556,5700.000000
1694.903686,4774.000000
1697.808400,4197.000000
1700.708699,3698.000000
