Wavelength (nm),Absorbance (AU)
901.663021,0.760545
905.592173,0.761548
909.516909,0.762606
913.437229,0.766924
917.353134,0.766192
921.264622,0.766144
925.171696,0.768672
929.074353,0.767665
932.972595,0.765821
938.163382,0.759883
942.051321,0.756760
945.934844,0.754066
949.813951,0.750785
953.688643,0.745614
957.558919,0.743889
961.424779,0.741717
965.286223,0.739853
969.143252,0.738502
972.995866,0.738578
978.125814,0.739449
981.968124,0.739980
985.806019,0.740393
989.639497,0.740707
993.468560,0.741325
997.293207,0.741914
1001.113439,0.740233
1004.929255,0.737983
1008.740655,0.736644
1012.547640,0.735036
1016.350208,0.733785
1021.413431,0.732560
1025.205697,0.730725
1028.993547,0.729739
1032.776981,0.728371
1036.556000,0.727071
1040.330603,0.725245
1044.100790,0.724486
1047.866561,0.724452
1051.627917,0.723173
1055.384857,0.723656
1060.387242,0.722724
1064.133879,0.721127
1067.876100,0.721079
1071.613906,0.721574
1075.347296,0.720310
1079.076270,0.721229
1082.800829,0.720622
1086.520972,0.720868
1090.236699,0.722125
1093.948010,0.721554
1097.654906,0.722628
1102.590565,0.722709
1106.287158,0.722818
1109.979334,0.723864
1113.667096,0.725670
1117.350441,0.726141
1121.029371,0.727192
1124.703885,0.728443
1128.373984,0.730999
1132.039667,0.733639
1135.700934,0.736981
1140.575755,0.742459
1144.226718,0.745462
1147.873267,0.749645
1151.515399,0.755477
1155.153116,0.760466
1158.786417,0.766863
1162.415303,0.771392
1166.039773,0.776649
1169.659827,0.781142
1173.275465,0.784835
1176.886688,0.789732
1181.694783,0.796184
1185.295703,0.800634
1188.892206,0.803745
1192.484295,0.806788
1196.071967,0.808298
1199.655224,0.810772
1203.234065,0.812173
1206.808491,0.814295
1210.378500,0.814677
1213.944094,0.813797
1218.691351,0.811387
1222.246642,0.808316
1225.797517,0.807368
1229.343977,0.804868
1232.886021,0.803414
1236.423649,0.800947
1239.956861,0.799844
1243.485658,0.797901
1247.010039,0.796809
1250.530005,0.795266
1254.045554,0.794602
1258.726085,0.794356
1262.231332,0.793750
1265.732163,0.793167
1269.228578,0.792261
1272.720577,0.790815
1276.208161,0.788807
1279.691329,0.788301
1283.170082,0.787383
1286.644418,0.787628
1290.114340,0.787922
1294.734032,0.788454
1298.193650,0.787005
1301.648852,0.786123
1305.099639,0.786365
1308.546010,0.787468
1311.987965,0.788277
1315.425504,0.789736
1318.858628,0.792352
1322.287336,0.794775
1325.711628,0.797612
1329.131505,0.800781
1333.684472,0.806139
1337.094045,0.810301
1340.499203,0.815430
1343.899945,0.821616
1347.296272,0.829184
1350.688183,0.836518
1354.075678,0.844449
1357.458757,0.851714
1360.837421,0.857136
1364.211669,0.861035
1367.581501,0.864679
1372.067742,0.870230
1375.427272,0.874743
1378.782385,0.880289
1382.133083,0.887620
1385.479365,0.895607
1388.821231,0.904525
1392.158682,0.914983
1395.491717,0.927983
1398.820337,0.941866
1402.144540,0.959868
1406.569943,0.989585
1409.883843,1.012866
1413.193328,1.038747
1416.498397,1.064392
1419.799051,1.091119
1423.095289,1.113053
1426.387111,1.132481
1429.674517,1.148374
1432.957508,1.162151
1436.236083,1.170570
1439.510242,1.178853
1443.868919,1.188529
1447.132775,1.195629
1450.392216,1.204467
1453.647240,1.211174
1456.897849,1.215956
1460.144043,1.219300
1463.385821,1.221675
1466.623183,1.219209
1469.856129,1.218515
1473.084660,1.217715
1477.382498,1.216290
1480.600726,1.215417
1483.814538,1.215841
1487.023934,1.217487
1490.228914,1.215458
1493.429479,1.218771
1496.625628,1.215603
1499.817361,1.214523
1503.004679,1.210432
1506.187581,1.207334
1509.366067,1.202314
1513.597180,1.194721
1516.765363,1.191581
1519.929131,1.189097
1523.088482,1.185625
1526.243418,1.187568
1529.393939,1.186109
1532.540044,1.188317
1535.681733,1.188746
1538.819006,1.187983
1541.951864,1.189309
1546.122138,1.184828
1549.244693,1.182434
1552.362831,1.176474
1555.476554,1.174402
1558.585862,1.174072
1561.690753,1.170753
1564.791230,1.172763
1567.887290,1.174083
1570.978935,1.174468
1574.066163,1.173660
1577.148977,1.174277
1581.252526,1.172948
1584.325036,1.171364
1587.393130,1.167210
1590.456809,1.159526
1593.516072,1.155008
1596.570919,1.147765
1599.621351,1.141378
1602.667367,1.135413
1605.708967,1.130774
1608.746152,1.125850
1612.788862,1.123591
1615.815744,1.120653
1618.838209,1.116922
1621.856260,1.114351
1624.869894,1.111085
1627.879113,1.109672
1630.883915,1.102382
1633.884303,1.095815
1636.880274,1.090320
1639.871830,1.080214
1642.858971,1.076075
1646.834956,1.064494
1649.811793,1.056267
1652.784214,1.047839
1655.752220,1.042839
1658.715810,1.031636
1661.674984,1.016599
1664.629742,0.997627
1667.580085,0.971494
1670.526013,0.941981
1673.467524,0.902314
1677.382671,0.856002
1680.313879,0.823952
1683.240672,0.795982
1686.163049,0.779869
1689.081010,0.779853
1691.994556,0.782697
1694.903686,0.770615
1697.808400,0.780107
1700.708699,0.794493
