Wavelength (nm),Absorbance (AU)
901.663021,0.916048
905.592173,0.914070
909.516909,0.917793
913.437229,0.919308
917.353134,0.924869
921.264622,0.929987
925.171696,0.927983
929.074353,0.928081
932.972595,0.927316
938.163382,0.923665
942.051321,0.923055
945.934844,0.920571
949.813951,0.920249
953.688643,0.919356
957.558919,0.920287
961.424779,0.921078
965.286223,0.923162
969.143252,0.925491
972.995866,0.929279
978.125814,0.932441
981.968124,0.935910
985.806019,0.939628
989.639497,0.940103
993.468560,0.944924
997.293207,0.945371
1001.113439,0.942404
1004.929255,0.942440
1008.740655,0.940489
1012.547640,0.937925
1016.350208,0.936240
1021.413431,0.936865
1025.205697,0.934473
1028.993547,0.933424
1032.776981,0.932288
1036.556000,0.929181
1040.330603,0.929302
1044.100790,0.930060
1047.866561,0.927523
1051.627917,0.926988
1055.384857,0.926517
1060.387242,0.926046
1064.133879,0.925949
1067.876100,0.926308
1071.613906,0.925224
1075.347296,0.924894
1079.076270,0.924895
1082.800829,0.926337
1086.520972,0.927081
1090.236699,0.925609
1093.948010,0.925608
1097.654906,0.925569
1102.590565,0.927563
1106.287158,0.926930
1109.979334,0.928269
1113.667096,0.927376
1117.350441,0.930832
1121.029371,0.930644
1124.703885,0.933473
1128.373984,0.935427
1132.039667,0.938476
1135.700934,0.942466
1140.575755,0.949367
1144.226718,0.955655
1147.873267,0.962012
1151.515399,0.970267
1155.153116,0.976454
1158.786417,0.983581
1162.415303,0.990666
1166.039773,0.998742
1169.659827,1.004054
1173.275465,1.010321
1176.886688,1.016113
1181.694783,1.023668
1185.295703,1.027874
1188.892206,1.032569
1192.484295,1.037303
1196.071967,1.037958
1199.655224,1.041896
1203.234065,1.044014
1206.808491,1.046413
1210.378500,1.046877
1213.944094,1.045606
1218.691351,1.043250
1222.246642,1.042121
1225.797517,1.038064
1229.343977,1.035609
1232.886021,1.035875
1236.423649,1.034007
1239.956861,1.032281
1243.485658,1.031961
1247.010039,1.029493
1250.530005,1.029753
1254.045554,1.029528
1258.726085,1.029059
1262.231332,1.028876
1265.732163,1.028347
1269.228578,1.028991
1272.720577,1.027403
1276.208161,1.026908
1279.691329,1.026789
1283.170082,1.026259
1286.644418,1.025830
1290.114340,1.025085
1294.734032,1.025828
1298.193650,1.025064
1301.648852,1.026835
1305.099639,1.026829
1308.546010,1.028336
1311.987965,1.030143
1315.425504,1.031846
1318.858628,1.036607
1322.287336,1.040042
1325.711628,1.045738
1329.131505,1.050787
1333.684472,1.061238
1337.094045,1.068304
1340.499203,1.077252
1343.899945,1.085584
1347.296272,1.096979
1350.688183,1.105273
1354.075678,1.117290
1357.458757,1.124313
1360.837421,1.132585
1364.211669,1.140545
1367.581501,1.147559
1372.067742,1.154836
1375.427272,1.159971
1378.782385,1.171552
1382.133083,1.177724
1385.479365,1.187434
1388.821231,1.202390
1392.158682,1.217284
1395.491717,1.235281
1398.820337,1.255612
1402.144540,1.280802
1406.569943,1.310416
1409.883843,1.334881
1413.193328,1.356792
1416.498397,1.374935
1419.799051,1.391931
1423.095289,1.404932
1426.387111,1.414553
1429.674517,1.423151
1432.957508,1.427933
1436.236083,1.436088
1439.510242,1.436967
1443.868919,1.440437
1447.132775,1.442228
1450.392216,1.445216
1453.647240,1.448086
1456.897849,1.447474
1460.144043,1.447096
1463.385821,1.450036
1466.623183,1.450619
1469.856129,1.447792
1473.084660,1.450662
1477.382498,1.447028
1480.600726,1.445959
1483.814538,1.449791
1487.023934,1.449272
1490.228914,1.449044
1493.429479,1.449062
1496.625628,1.446494
1499.817361,1.444433
1503.004679,1.447160
1506.187581,1.445456
1509.366067,1.444312
1513.597180,1.445169
1516.765363,1.443559
1519.929131,1.442824
1523.088482,1.436796
1526.243418,1.439925
1529.393939,1.439792
1532.540044,1.441389
1535.681733,1.440403
1538.819006,1.439042
1541.951864,1.436573
1546.122138,1.436918
1549.244693,1.441025
1552.362831,1.442268
1555.476554,1.439603
1558.585862,1.438081
1561.690753,1.438395
1564.791230,1.439625
1567.887290,1.439014
1570.978935,1.437747
1574.066163,1.434132
1577.148977,1.431153
1581.252526,1.435663
1584.325036,1.439136
1587.393130,1.432233
1590.456809,1.432193
1593.516072,1.431989
1596.570919,1.426880
1599.621351,1.424840
1602.667367,1.422866
1605.708967,1.418995
1608.746152,1.416822
1612.788862,1.409616
1615.815744,1.411281
1618.838209,1.406072
1621.856260,1.406697
1624.869894,1.401344
1627.879113,1.402831
1630.883915,1.397860
1633.884303,1.396252
1636.880274,1.393566
1639.871830,1.394897
1642.858971,1.390807
1646.834956,1.385345
1649.811793,1.373322
1652.784214,1.374790
1655.752220,1.366854
1658.715810,1.350979
1661.674984,1.342313
1664.629742,1.316937
1667.580085,1.291643
1670.526013,1.254561
1673.467524,1.218641
1677.382671,1.164449
1680.313879,1.118098
1683.240672,1.099253
1686.163049,1.084332
1689.081010,1.062377
1691.994556,1.066091
1694.903686,1.070336
1697.808400,1.076948
1700.708699,1.075930
