Wavelength (nm),Sample Signal (unitless)
901.663021,18972.000000
905.592173,20678.000000
909.516909,22135.000000
913.437229,23823.000000
917.353134,26077.000000
921.264622,28713.000000
925.171696,31729.000000
929.074353,34787.000000
932.972595,38040.000000
938.163382,42270.000000
942.051321,45454.000000
945.934844,48169.000000
949.813951,50990.000000
953.688643,53843.000000
957.558919,56519.000000
961.424779,58761.000000
965.286223,60807.000000
969.143252,62337.000000
972.995866,63557.000000
978.125814,65082.000000
981.968124,65686.000000
985.806019,66211.000000
989.639497,66637.000000
993.468560,66513.000000
997.293207,65995.000000
1001.113439,65876.000000
1004.929255,65319.000000
1008.740655,65349.000000
1012.547640,65072.000000
1016.350208,65087.000000
1021.413431,65137.000000
1025.205697,65212.000000
1028.993547,65439.000000
1032.776981,65613.000000
1036.556000,65900.000000
1040.330603,66466.000000
1044.100790,66840.000000
1047.866561,67430.000000
1051.627917,68108.000000
1055.384857,68470.000000
1060.387242,69132.000000
1064.133879,69673.000000
1067.876100,69989.000000
1071.613906,70599.000000
1075.347296,71135.000000
1079.076270,71460.000000
1082.800829,71838.000000
1086.520972,72140.000000
1090.236699,72514.000000
1093.948010,72808.000000
1097.654906,73398.000000
1102.590565,73689.000000
1106.287158,73822.000000
1109.979334,73969.000000
1113.667096,74358.000000
1117.350441,74597.000000
1121.029371,74984.000000
1124.703885,75039.000000
1128.373984,74833.000000
1132.039667,74599.000000
1135.700934,74402.000000
1140.575755,74217.000000
1144.226718,73728.000000
1147.873267,73527.000000
1151.515399,72876.000000
1155.153116,72422.000000
1158.786417,71918.000000
1162.415303,71618.000000
1166.039773,71729.000000
1169.659827,71636.000000
1173.275465,71559.000000
1176.886688,71612.000000
1181.694783,71677.000000
1185.295703,71836.000000
1188.892206,72226.000000
1192.484295,72800.000000
1196.071967,73474.000000
1199.655224,74033.000000
1203.234065,74884.000000
1206.808491,75564.000000
1210.378500,76500.000000
1213.944094,77501.000000
1218.691351,79093.000000
1222.246642,80501.000000
1225.797517,82189.000000
1229.343977,83681.000000
1232.886021,84929.000000
1236.423649,86022.000000
1239.956861,87195.000000
1243.485658,87987.000000
1247.010039,89148.000000
1250.530005,90107.000000
1254.045554,91221.000000
1258.726085,92495.000000
1262.231332,93338.000000
1265.732163,94378.000000
1269.228578,95102.000000
1272.720577,96024.000000
1276.208161,96576.000000
1279.691329,97468.000000
1283.170082,98482.000000
1286.644418,99487.000000
1290.114340,100156.000000
1294.734032,100966.000000
1298.193650,101530.000000
1301.648852,101532.000000
1305.099639,101504.000000
1308.546010,101191.000000
1311.987965,101241.000000
1315.425504,101008.000000
1318.858628,100623.000000
1322.287336,100088.000000
1325.711628,99651.000000
1329.131505,98640.000000
1333.684472,96885.000000
1337.094045,95730.000000
1340.499203,94181.000000
1343.899945,92510.000000
1347.296272,90866.000000
1350.688183,89347.000000
1354.075678,87662.000000
1357.458757,86368.000000
1360.837421,84859.000000
1364.211669,83858.000000
1367.581501,82816.000000
1372.067742,81500.000000
1375.427272,79817.000000
1378.782385,78062.000000
1382.133083,76274.000000
1385.479365,74298.000000
1388.821231,72483.000000
1392.158682,70706.000000
1395.491717,68946.000000
1398.820337,66710.000000
1402.144540,64894.000000
1406.569943,61544.000000
1409.883843,59091.000000
1413.193328,56828.000000
1416.498397,54285.000000
1419.799051,52374.000000
1423.095289,50602.000000
1426.387111,49283.000000
1429.674517,48000.000000
1432.957508,47078.000000
1436.236083,46123.000000
1439.510242,45629.000000
1443.868919,45208.000000
1447.132775,44783.000000
1450.392216,44321.000000
1453.647240,44085.000000
1456.897849,43471.000000
1460.144043,43193.000000
1463.385821,42926.000000
1466.623183,42642.000000
1469.856129,42420.000000
1473.084660,42463.000000
1477.382498,42236.000000
1480.600726,42136.000000
1483.814538,41991.000000
1487.023934,41959.000000
1490.228914,41825.000000
1493.429479,41717.000000
1496.625628,41376.000000
1499.817361,41163.000000
1503.004679,41099.000000
1506.187581,41037.000000
1509.366067,40676.000000
1513.597180,40446.000000
1516.765363,40173.000000
1519.929131,40183.000000
1523.088482,40062.000000
1526.243418,39519.000000
1529.393939,39553.000000
1532.540044,39282.000000
1535.681733,38961.000000
1538.819006,38419.000000
1541.951864,37917.000000
1546.122138,37080.000000
1549.244693,36671.000000
1552.362831,36092.000000
1555.476554,35329.000000
1558.585862,34809.000000
1561.690753,34273.000000
1564.791230,33728.000000
1567.887290,33253.000000
1570.978935,32980.000000
1574.066163,32213.000000
1577.148977,31724.000000
1581.252526,31325.000000
1584.325036,30842.000000
1587.393130,30032.000000
1590.456809,29660.000000
1593.516072,29159.000000
1596.570919,28712.000000
1599.621351,28294.000000
1602.667367,27788.000000
1605.708967,27221.000000
1608.746152,26996.000000
1612.788862,26146.000000
1615.815744,26030.000000
1618.838209,25575.000000
1621.856260,25207.000000
1624.869894,24773.000000
1627.879113,24220.000000
1630.883915,23874.000000
1633.884303,23362.000000
1636.880274,22820.000000
1639.871830,22122.000000
1642.858971,21857.000000
1646.834956,20919.000000
1649.811793,20612.000000
1652.784214,19914.000000
1655.752220,19423.000000
1658.715810,18847.000000
1661.674984,18164.000000
1664.629742,17598.000000
1667.580085,17181.000000
1670.526013,16525.000000
1673.467524,15633.000000
1677.382671,14233.000000
1680.313879,12857.000000
1683.240672,11677.000000
1686.163049,10184.000000
1689.081010,8918.000000
1691.994556,7469.000000
1694.903686,6493.000000
1697.808400,5441.000000
1700.708699,4704.000000
