Wavelength (nm),Reflectance (AU)
901.663021,0.152501
905.592173,0.151477
909.516909,0.150641
913.437229,0.149171
917.353134,0.149738
921.264622,0.149132
925.171696,0.148975
929.074353,0.149952
932.972595,0.150184
938.163382,0.150564
942.051321,0.151776
945.934844,0.151880
949.813951,0.151887
953.688643,0.152048
957.558919,0.151768
961.424779,0.151215
965.286223,0.150593
969.143252,0.149798
972.995866,0.148230
978.125814,0.146154
981.968124,0.145122
985.806019,0.144163
989.639497,0.143546
993.468560,0.142501
997.293207,0.142347
1001.113439,0.142402
1004.929255,0.143060
1008.740655,0.143581
1012.547640,0.143477
1016.350208,0.144333
1021.413431,0.144787
1025.205697,0.145778
1028.993547,0.146724
1032.776981,0.147362
1036.556000,0.148396
1040.330603,0.149176
1044.100790,0.149923
1047.866561,0.150772
1051.627917,0.151318
1055.384857,0.152003
1060.387242,0.152359
1064.133879,0.153121
1067.876100,0.153476
1071.613906,0.154208
1075.347296,0.154553
1079.076270,0.155489
1082.800829,0.155624
1086.520972,0.156247
1090.236699,0.156469
1093.948010,0.156829
1097.654906,0.157039
1102.590565,0.157592
1106.287158,0.158573
1109.979334,0.158590
1113.667096,0.158705
1117.350441,0.158892
1121.029371,0.158499
1124.703885,0.158421
1128.373984,0.157177
1132.039667,0.156376
1135.700934,0.154736
1140.575755,0.152837
1144.226718,0.150360
1147.873267,0.147910
1151.515399,0.145144
1155.153116,0.141828
1158.786417,0.138962
1162.415303,0.135682
1166.039773,0.133344
1169.659827,0.131174
1173.275465,0.128573
1176.886688,0.126311
1181.694783,0.123290
1185.295703,0.121432
1188.892206,0.119950
1192.484295,0.118829
1196.071967,0.118053
1199.655224,0.117035
1203.234065,0.116278
1206.808491,0.115543
1210.378500,0.115550
1213.944094,0.115869
1218.691351,0.116881
1222.246642,0.117830
1225.797517,0.118363
1229.343977,0.118976
1232.886021,0.120011
1236.423649,0.120806
1239.956861,0.121539
1243.485658,0.121567
1247.010039,0.121618
1250.530005,0.121997
1254.045554,0.122315
1258.726085,0.122518
1262.231332,0.122701
1265.732163,0.122907
1269.228578,0.123051
1272.720577,0.123376
1276.208161,0.124108
1279.691329,0.124459
1283.170082,0.124680
1286.644418,0.125204
1290.114340,0.125458
1294.734032,0.125862
1298.193650,0.126266
1301.648852,0.126243
1305.099639,0.126106
1308.546010,0.125665
1311.987965,0.125153
1315.425504,0.124357
1318.858628,0.123270
1322.287336,0.122162
1325.711628,0.120768
1329.131505,0.118711
1333.684472,0.115976
1337.094045,0.113250
1340.499203,0.110841
1343.899945,0.107933
1347.296272,0.105111
1350.688183,0.101728
1354.075678,0.098896
1357.458757,0.096320
1360.837421,0.093716
1364.211669,0.091540
1367.581501,0.089869
1372.067742,0.087601
1375.427272,0.086304
1378.782385,0.084985
1382.133083,0.082802
1385.479365,0.080568
1388.821231,0.077961
1392.158682,0.074631
1395.491717,0.070999
1398.820337,0.067089
1402.144540,0.062899
1406.569943,0.057351
1409.883843,0.053717
1413.193328,0.049943
1416.498397,0.046994
1419.799051,0.044301
1423.095289,0.042327
1426.387111,0.040726
1429.674517,0.039664
1432.957508,0.038421
1436.236083,0.037466
1439.510242,0.036760
1443.868919,0.035745
1447.132775,0.035418
1450.392216,0.034980
1453.647240,0.034212
1456.897849,0.034074
1460.144043,0.033609
1463.385821,0.033225
1466.623183,0.032935
1469.856129,0.032695
1473.084660,0.032378
1477.382498,0.032532
1480.600726,0.032238
1483.814538,0.031848
1487.023934,0.031898
1490.228914,0.031680
1493.429479,0.031655
1496.625628,0.032057
1499.817361,0.031992
1503.004679,0.032084
1506.187581,0.032110
1509.366067,0.032401
1513.597180,0.032398
1516.765363,0.032520
1519.929131,0.032745
1523.088482,0.032921
1526.243418,0.032878
1529.393939,0.032886
1532.540044,0.032621
1535.681733,0.032760
1538.819006,0.032995
1541.951864,0.033115
1546.122138,0.032973
1549.244693,0.033069
1552.362831,0.033090
1555.476554,0.033119
1558.585862,0.032705
1561.690753,0.032832
1564.791230,0.032476
1567.887290,0.032464
1570.978935,0.032406
1574.066163,0.032596
1577.148977,0.032901
1581.252526,0.032434
1584.325036,0.032642
1587.393130,0.032725
1590.456809,0.033099
1593.516072,0.032757
1596.570919,0.033274
1599.621351,0.033446
1602.667367,0.033693
1605.708967,0.033772
1608.746152,0.033270
1612.788862,0.033791
1615.815744,0.034237
1618.838209,0.034070
1621.856260,0.034374
1624.869894,0.034273
1627.879113,0.034956
1630.883915,0.034942
1633.884303,0.034961
1636.880274,0.035166
1639.871830,0.035323
1642.858971,0.035657
1646.834956,0.035979
1649.811793,0.035729
1652.784214,0.036355
1655.752220,0.036237
1658.715810,0.037579
1661.674984,0.038675
1664.629742,0.039840
1667.580085,0.042197
1670.526013,0.045493
1673.467524,0.048586
1677.382671,0.053320
1680.313879,0.054282
1683.240672,0.054589
1686.163049,0.055711
1689.081010,0.055542
1691.994556,0.052362
1694.903686,0.054624
1697.808400,0.052500
1700.708699,0.047488
