Wavelength (nm),Reflectance (AU)
901.663021,0.094313
905.592173,0.094919
909.516909,0.095115
913.437229,0.094300
917.353134,0.093795
921.264622,0.093058
925.171696,0.094213
929.074353,0.094060
932.972595,0.093979
938.163382,0.094962
942.051321,0.095952
945.934844,0.095842
949.813951,0.097221
953.688643,0.096939
957.558919,0.097267
961.424779,0.096877
965.286223,0.096620
969.143252,0.095954
972.995866,0.095627
978.125814,0.094563
981.968124,0.093961
985.806019,0.093584
989.639497,0.093277
993.468560,0.092877
997.293207,0.092942
1001.113439,0.093217
1004.929255,0.093241
1008.740655,0.093474
1012.547640,0.094339
1016.350208,0.094760
1021.413431,0.095057
1025.205697,0.095800
1028.993547,0.096122
1032.776981,0.096729
1036.556000,0.097393
1040.330603,0.097210
1044.100790,0.098355
1047.866561,0.098253
1051.627917,0.098116
1055.384857,0.098583
1060.387242,0.099431
1064.133879,0.099493
1067.876100,0.099446
1071.613906,0.099526
1075.347296,0.099761
1079.076270,0.100128
1082.800829,0.099807
1086.520972,0.099356
1090.236699,0.099888
1093.948010,0.099737
1097.654906,0.099829
1102.590565,0.099240
1106.287158,0.099481
1109.979334,0.099359
1113.667096,0.099046
1117.350441,0.098692
1121.029371,0.098543
1124.703885,0.097587
1128.373984,0.097362
1132.039667,0.096452
1135.700934,0.095611
1140.575755,0.093885
1144.226718,0.092583
1147.873267,0.091260
1151.515399,0.089590
1155.153116,0.087491
1158.786417,0.085511
1162.415303,0.084248
1166.039773,0.082557
1169.659827,0.081529
1173.275465,0.079985
1176.886688,0.078883
1181.694783,0.077094
1185.295703,0.076250
1188.892206,0.074811
1192.484295,0.074240
1196.071967,0.073625
1199.655224,0.073511
1203.234065,0.073209
1206.808491,0.073229
1210.378500,0.073319
1213.944094,0.073411
1218.691351,0.073629
1222.246642,0.074093
1225.797517,0.074478
1229.343977,0.074886
1232.886021,0.075577
1236.423649,0.076085
1239.956861,0.076588
1243.485658,0.076792
1247.010039,0.076960
1250.530005,0.076790
1254.045554,0.076979
1258.726085,0.077029
1262.231332,0.077085
1265.732163,0.077555
1269.228578,0.077586
1272.720577,0.078148
1276.208161,0.078214
1279.691329,0.078326
1283.170082,0.078182
1286.644418,0.078660
1290.114340,0.078412
1294.734032,0.078404
1298.193650,0.078675
1301.648852,0.078694
1305.099639,0.078398
1308.546010,0.078589
1311.987965,0.078094
1315.425504,0.077753
1318.858628,0.076991
1322.287336,0.076133
1325.711628,0.075297
1329.131505,0.074067
1333.684472,0.072326
1337.094045,0.070977
1340.499203,0.069393
1343.899945,0.067558
1347.296272,0.065789
1350.688183,0.063891
1354.075678,0.062180
1357.458757,0.060401
1360.837421,0.059099
1364.211669,0.057615
1367.581501,0.056453
1372.067742,0.055116
1375.427272,0.054234
1378.782385,0.053124
1382.133083,0.051843
1385.479365,0.050292
1388.821231,0.048515
1392.158682,0.046173
1395.491717,0.043715
1398.820337,0.040617
1402.144540,0.038039
1406.569943,0.034093
1409.883843,0.031382
1413.193328,0.029033
1416.498397,0.026880
1419.799051,0.025429
1423.095289,0.024213
1426.387111,0.023263
1429.674517,0.022442
1432.957508,0.021679
1436.236083,0.021581
1439.510242,0.021224
1443.868919,0.021449
1447.132775,0.020996
1450.392216,0.021016
1453.647240,0.021016
1456.897849,0.021186
1460.144043,0.020984
1463.385821,0.020791
1466.623183,0.020348
1469.856129,0.020820
1473.084660,0.020704
1477.382498,0.020783
1480.600726,0.020799
1483.814538,0.020848
1487.023934,0.020727
1490.228914,0.020548
1493.429479,0.021013
1496.625628,0.020823
1499.817361,0.021028
1503.004679,0.020718
1506.187581,0.020962
1509.366067,0.021065
1513.597180,0.020997
1516.765363,0.021221
1519.929131,0.021276
1523.088482,0.021149
1526.243418,0.020943
1529.393939,0.021302
1532.540044,0.020980
1535.681733,0.020909
1538.819006,0.021197
1541.951864,0.021288
1546.122138,0.021190
1549.244693,0.021328
1552.362831,0.020812
1555.476554,0.021105
1558.585862,0.020940
1561.690753,0.021271
1564.791230,0.021250
1567.887290,0.020848
1570.978935,0.021323
1574.066163,0.021384
1577.148977,0.021418
1581.252526,0.021004
1584.325036,0.021410
1587.393130,0.021503
1590.456809,0.021658
1593.516072,0.021545
1596.570919,0.021718
1599.621351,0.022282
1602.667367,0.021949
1605.708967,0.022287
1608.746152,0.022302
1612.788862,0.022336
1615.815744,0.022779
1618.838209,0.023002
1621.856260,0.022887
1624.869894,0.023344
1627.879113,0.023390
1630.883915,0.024026
1633.884303,0.023520
1636.880274,0.023851
1639.871830,0.024454
1642.858971,0.024360
1646.834956,0.025045
1649.811793,0.025453
1652.784214,0.025880
1655.752220,0.026181
1658.715810,0.027534
1661.674984,0.028693
1664.629742,0.029680
1667.580085,0.031582
1670.526013,0.034303
1673.467524,0.037640
1677.382671,0.042335
1680.313879,0.042931
1683.240672,0.046867
1686.163049,0.048639
1689.081010,0.047612
1691.994556,0.045863
1694.903686,0.046803
1697.808400,0.045760
1700.708699,0.045037
