Wavelength (nm),Absorbance (AU)
901.663021,0.821063
905.592173,0.818578
909.516909,0.819425
913.437229,0.823632
917.353134,0.826906
921.264622,0.823391
925.171696,0.825248
929.074353,0.825482
932.972595,0.822990
938.163382,0.821609
942.051321,0.818901
945.934844,0.817190
949.813951,0.815014
953.688643,0.814642
957.558919,0.813041
961.424779,0.811960
965.286223,0.813938
969.143252,0.814261
972.995866,0.817158
978.125814,0.819875
981.968124,0.821813
985.806019,0.824367
989.639497,0.826746
993.468560,0.827876
997.293207,0.827830
1001.113439,0.826807
1004.929255,0.826422
1008.740655,0.824141
1012.547640,0.823327
1016.350208,0.822899
1021.413431,0.821078
1025.205697,0.820540
1028.993547,0.817850
1032.776981,0.816536
1036.556000,0.815226
1040.330603,0.814640
1044.100790,0.813271
1047.866561,0.813901
1051.627917,0.812138
1055.384857,0.811063
1060.387242,0.811971
1064.133879,0.812373
1067.876100,0.811014
1071.613906,0.811042
1075.347296,0.810179
1079.076270,0.810687
1082.800829,0.810466
1086.520972,0.809966
1090.236699,0.810245
1093.948010,0.809758
1097.654906,0.810586
1102.590565,0.811681
1106.287158,0.811051
1109.979334,0.809560
1113.667096,0.809664
1117.350441,0.809939
1121.029371,0.811543
1124.703885,0.813496
1128.373984,0.816456
1132.039667,0.818060
1135.700934,0.820319
1140.575755,0.823898
1144.226718,0.829281
1147.873267,0.836425
1151.515399,0.842965
1155.153116,0.849700
1158.786417,0.855429
1162.415303,0.861508
1166.039773,0.868491
1169.659827,0.874178
1173.275465,0.881825
1176.886688,0.886491
1181.694783,0.892435
1185.295703,0.896297
1188.892206,0.900775
1192.484295,0.903736
1196.071967,0.909769
1199.655224,0.911394
1203.234065,0.912411
1206.808491,0.913602
1210.378500,0.912821
1213.944094,0.913195
1218.691351,0.911750
1222.246642,0.910169
1225.797517,0.907783
1229.343977,0.905844
1232.886021,0.903914
1236.423649,0.900220
1239.956861,0.899884
1243.485658,0.899776
1247.010039,0.899897
1250.530005,0.900684
1254.045554,0.898738
1258.726085,0.896781
1262.231332,0.895828
1265.732163,0.896290
1269.228578,0.895642
1272.720577,0.896312
1276.208161,0.895946
1279.691329,0.896450
1283.170082,0.894972
1286.644418,0.893326
1290.114340,0.891235
1294.734032,0.890197
1298.193650,0.889515
1301.648852,0.891133
1305.099639,0.892515
1308.546010,0.893605
1311.987965,0.895904
1315.425504,0.896778
1318.858628,0.897673
1322.287336,0.900198
1325.711628,0.904079
1329.131505,0.907930
1333.684472,0.917781
1337.094045,0.925847
1340.499203,0.932347
1343.899945,0.940348
1347.296272,0.947557
1350.688183,0.954619
1354.075678,0.963856
1357.458757,0.972909
1360.837421,0.979897
1364.211669,0.986910
1367.581501,0.994712
1372.067742,1.003327
1375.427272,1.008576
1378.782385,1.013986
1382.133083,1.019855
1385.479365,1.026784
1388.821231,1.037031
1392.158682,1.049125
1395.491717,1.065534
1398.820337,1.084236
1402.144540,1.106332
1406.569943,1.137336
1409.883843,1.164702
1413.193328,1.189355
1416.498397,1.212171
1419.799051,1.236094
1423.095289,1.256422
1426.387111,1.274261
1429.674517,1.289388
1432.957508,1.305261
1436.236083,1.315976
1439.510242,1.327073
1443.868919,1.338723
1447.132775,1.346315
1450.392216,1.350182
1453.647240,1.354260
1456.897849,1.354515
1460.144043,1.361055
1463.385821,1.363956
1466.623183,1.366425
1469.856129,1.369198
1473.084660,1.372135
1477.382498,1.377691
1480.600726,1.374849
1483.814538,1.379443
1487.023934,1.378599
1490.228914,1.377140
1493.429479,1.376386
1496.625628,1.375160
1499.817361,1.369242
1503.004679,1.369406
1506.187581,1.365734
1509.366067,1.363804
1513.597180,1.363984
1516.765363,1.362094
1519.929131,1.359928
1523.088482,1.361047
1526.243418,1.358167
1529.393939,1.353974
1532.540044,1.354773
1535.681733,1.351871
1538.819006,1.349338
1541.951864,1.349010
1546.122138,1.347784
1549.244693,1.347677
1552.362831,1.344869
1555.476554,1.351295
1558.585862,1.348804
1561.690753,1.349478
1564.791230,1.348658
1567.887290,1.349380
1570.978935,1.346754
1574.066163,1.347194
1577.148977,1.344928
1581.252526,1.339461
1584.325036,1.338017
1587.393130,1.333967
1590.456809,1.333181
1593.516072,1.328732
1596.570919,1.326590
1599.621351,1.322457
1602.667367,1.318873
1605.708967,1.313590
1608.746152,1.312661
1612.788862,1.305408
1615.815744,1.306818
1618.838209,1.295614
1621.856260,1.296301
1624.869894,1.286310
1627.879113,1.280148
1630.883915,1.275233
1633.884303,1.271658
1636.880274,1.270190
1639.871830,1.264647
1642.858971,1.262538
1646.834956,1.259005
1649.811793,1.253160
1652.784214,1.246049
1655.752220,1.238696
1658.715810,1.227280
1661.674984,1.202700
1664.629742,1.188016
1667.580085,1.161856
1670.526013,1.123897
1673.467524,1.093421
1677.382671,1.047743
1680.313879,1.025414
1683.240672,1.007315
1686.163049,0.996618
1689.081010,0.993061
1691.994556,1.015835
1694.903686,1.015229
1697.808400,1.011194
1700.708699,1.038060
