Wavelength (nm),Absorbance (AU)
901.663021,1.055541
905.592173,1.060406
909.516909,1.058807
913.437229,1.048015
917.353134,1.058495
921.264622,1.052353
925.171696,1.052979
929.074353,1.049651
932.972595,1.045253
938.163382,1.044232
942.051321,1.039582
945.934844,1.036611
949.813951,1.039161
953.688643,1.035337
957.558919,1.034925
961.424779,1.034288
965.286223,1.037208
969.143252,1.039877
972.995866,1.043365
978.125814,1.047310
981.968124,1.051685
985.806019,1.055175
989.639497,1.057649
993.468560,1.060702
997.293207,1.061220
1001.113439,1.060893
1004.929255,1.060092
1008.740655,1.057642
1012.547640,1.057665
1016.350208,1.053525
1021.413431,1.051235
1025.205697,1.049998
1028.993547,1.048582
1032.776981,1.048385
1036.556000,1.045080
1040.330603,1.041556
1044.100790,1.042050
1047.866561,1.039384
1051.627917,1.037756
1055.384857,1.035886
1060.387242,1.034504
1064.133879,1.033909
1067.876100,1.032289
1071.613906,1.030700
1075.347296,1.028768
1079.076270,1.029987
1082.800829,1.028887
1086.520972,1.029663
1090.236699,1.029698
1093.948010,1.027532
1097.654906,1.025628
1102.590565,1.028221
1106.287158,1.027264
1109.979334,1.027898
1113.667096,1.026175
1117.350441,1.029540
1121.029371,1.029390
1124.703885,1.030531
1128.373984,1.036358
1132.039667,1.038256
1135.700934,1.043634
1140.575755,1.050230
1144.226718,1.060738
1147.873267,1.071363
1151.515399,1.081413
1155.153116,1.092758
1158.786417,1.102265
1162.415303,1.112531
1166.039773,1.122754
1169.659827,1.132103
1173.275465,1.143176
1176.886688,1.154549
1181.694783,1.163661
1185.295703,1.170678
1188.892206,1.174805
1192.484295,1.181997
1196.071967,1.185949
1199.655224,1.191149
1203.234065,1.192216
1206.808491,1.191787
1210.378500,1.187983
1213.944094,1.187562
1218.691351,1.187189
1222.246642,1.185403
1225.797517,1.183389
1229.343977,1.179608
1232.886021,1.174486
1236.423649,1.175167
1239.956861,1.170846
1243.485658,1.170129
1247.010039,1.171033
1250.530005,1.171035
1254.045554,1.170358
1258.726085,1.170337
1262.231332,1.167227
1265.732163,1.167008
1269.228578,1.165470
1272.720577,1.164242
1276.208161,1.165053
1279.691329,1.163966
1283.170082,1.162937
1286.644418,1.160713
1290.114340,1.156776
1294.734032,1.154685
1298.193650,1.153910
1301.648852,1.154571
1305.099639,1.155732
1308.546010,1.157290
1311.987965,1.158860
1315.425504,1.161816
1318.858628,1.163490
1322.287336,1.166230
1325.711628,1.172431
1329.131505,1.180147
1333.684472,1.193362
1337.094045,1.205004
1340.499203,1.215800
1343.899945,1.225711
1347.296272,1.240058
1350.688183,1.250651
1354.075678,1.264012
1357.458757,1.276097
1360.837421,1.289462
1364.211669,1.299326
1367.581501,1.310877
1372.067742,1.319598
1375.427272,1.327537
1378.782385,1.335509
1382.133083,1.340157
1385.479365,1.350060
1388.821231,1.362795
1392.158682,1.380134
1395.491717,1.400133
1398.820337,1.421945
1402.144540,1.450302
1406.569943,1.487095
1409.883843,1.516956
1413.193328,1.547694
1416.498397,1.576294
1419.799051,1.600979
1423.095289,1.618779
1426.387111,1.635585
1429.674517,1.649530
1432.957508,1.661391
1436.236083,1.680332
1439.510242,1.690189
1443.868919,1.702738
1447.132775,1.705302
1450.392216,1.706032
1453.647240,1.709175
1456.897849,1.707761
1460.144043,1.707704
1463.385821,1.707287
1466.623183,1.717708
1469.856129,1.718884
1473.084660,1.722921
1477.382498,1.721623
1480.600726,1.723109
1483.814538,1.725220
1487.023934,1.729360
1490.228914,1.721535
1493.429479,1.721122
1496.625628,1.721845
1499.817361,1.716722
1503.004679,1.715808
1506.187581,1.716291
1509.366067,1.716702
1513.597180,1.719107
1516.765363,1.718000
1519.929131,1.720570
1523.088482,1.719879
1526.243418,1.725685
1529.393939,1.721255
1532.540044,1.711534
1535.681733,1.712212
1538.819006,1.715473
1541.951864,1.712384
1546.122138,1.718000
1549.244693,1.705669
1552.362831,1.710477
1555.476554,1.711248
1558.585862,1.712340
1561.690753,1.713431
1564.791230,1.715115
1567.887290,1.721170
1570.978935,1.711870
1574.066163,1.714435
1577.148977,1.719927
1581.252526,1.707802
1584.325036,1.710900
1587.393130,1.701029
1590.456809,1.704680
1593.516072,1.700981
1596.570919,1.695099
1599.621351,1.689517
1602.667367,1.695478
1605.708967,1.699915
1608.746152,1.686655
1612.788862,1.687202
1615.815744,1.684749
1618.838209,1.678516
1621.856260,1.674575
1624.869894,1.676377
1627.879113,1.661645
1630.883915,1.655722
1633.884303,1.657472
1636.880274,1.649433
1639.871830,1.647465
1642.858971,1.649778
1646.834956,1.649346
1649.811793,1.638999
1652.784214,1.637294
1655.752220,1.620927
1658.715810,1.616195
1661.674984,1.606907
1664.629742,1.586398
1667.580085,1.564703
1670.526013,1.524608
1673.467524,1.514774
1677.382671,1.478496
1680.313879,1.463781
1683.240672,1.437746
1686.163049,1.447351
1689.081010,1.429384
1691.994556,1.445837
1694.903686,1.481976
1697.808400,1.454470
1700.708699,1.489040
