Wavelength (nm),Absorbance (AU)
901.663021,0.721551
905.592173,0.722456
909.516909,0.717865
913.437229,0.718020
917.353134,0.719617
921.264622,0.718795
925.171696,0.716756
929.074353,0.713441
932.972595,0.711060
938.163382,0.704943
942.051321,0.699443
945.934844,0.696003
949.813951,0.693701
953.688643,0.690117
957.558919,0.688932
961.424779,0.686759
965.286223,0.687046
969.143252,0.686677
972.995866,0.688297
978.125814,0.690380
981.968124,0.691320
985.806019,0.692835
989.639497,0.694154
993.468560,0.694914
997.293207,0.693851
1001.113439,0.691275
1004.929255,0.690037
1008.740655,0.687347
1012.547640,0.684987
1016.350208,0.681978
1021.413431,0.679444
1025.205697,0.677471
1028.993547,0.675682
1032.776981,0.673950
1036.556000,0.671580
1040.330603,0.670185
1044.100790,0.668582
1047.866561,0.666999
1051.627917,0.666236
1055.384857,0.665054
1060.387242,0.663918
1064.133879,0.663611
1067.876100,0.662432
1071.613906,0.662579
1075.347296,0.661252
1079.076270,0.661245
1082.800829,0.661195
1086.520972,0.660156
1090.236699,0.660357
1093.948010,0.659246
1097.654906,0.660179
1102.590565,0.660124
1106.287158,0.659584
1109.979334,0.659680
1113.667096,0.660066
1117.350441,0.660854
1121.029371,0.662905
1124.703885,0.663674
1128.373984,0.666174
1132.039667,0.668963
1135.700934,0.671854
1140.575755,0.677976
1144.226718,0.682920
1147.873267,0.688870
1151.515399,0.696071
1155.153116,0.701689
1158.786417,0.708891
1162.415303,0.716383
1166.039773,0.722971
1169.659827,0.728403
1173.275465,0.734763
1176.886688,0.740474
1181.694783,0.748705
1185.295703,0.753299
1188.892206,0.758659
1192.484295,0.761015
1196.071967,0.762429
1199.655224,0.765067
1203.234065,0.766178
1206.808491,0.766490
1210.378500,0.767686
1213.944094,0.766598
1218.691351,0.764054
1222.246642,0.761992
1225.797517,0.759392
1229.343977,0.757407
1232.886021,0.755437
1236.423649,0.753005
1239.956861,0.752901
1243.485658,0.751597
1247.010039,0.751389
1250.530005,0.750399
1254.045554,0.750067
1258.726085,0.750179
1262.231332,0.749333
1265.732163,0.749507
1269.228578,0.749013
1272.720577,0.748402
1276.208161,0.747870
1279.691329,0.746198
1283.170082,0.746000
1286.644418,0.745947
1290.114340,0.745557
1294.734032,0.744749
1298.193650,0.744478
1301.648852,0.743659
1305.099639,0.744227
1308.546010,0.745231
1311.987965,0.747027
1315.425504,0.749576
1318.858628,0.752404
1322.287336,0.756096
1325.711628,0.760132
1329.131505,0.765192
1333.684472,0.773425
1337.094045,0.779748
1340.499203,0.787167
1343.899945,0.796498
1347.296272,0.806639
1350.688183,0.817668
1354.075678,0.828161
1357.458757,0.837906
1360.837421,0.846221
1364.211669,0.853059
1367.581501,0.859597
1372.067742,0.866358
1375.427272,0.873481
1378.782385,0.878973
1382.133083,0.887749
1385.479365,0.897709
1388.821231,0.909767
1392.158682,0.924738
1395.491717,0.941156
1398.820337,0.962662
1402.144540,0.985907
1406.569943,1.021048
1409.883843,1.051071
1413.193328,1.083226
1416.498397,1.115315
1419.799051,1.146157
1423.095289,1.173305
1426.387111,1.197064
1429.674517,1.219715
1432.957508,1.237439
1436.236083,1.253703
1439.510242,1.265642
1443.868919,1.277467
1447.132775,1.286721
1450.392216,1.291382
1453.647240,1.297982
1456.897849,1.303040
1460.144043,1.306730
1463.385821,1.311908
1466.623183,1.313384
1469.856129,1.317596
1473.084660,1.315110
1477.382498,1.315556
1480.600726,1.317533
1483.814538,1.314493
1487.023934,1.315660
1490.228914,1.312960
1493.429479,1.310733
1496.625628,1.308209
1499.817361,1.308178
1503.004679,1.304409
1506.187581,1.301392
1509.366067,1.295796
1513.597180,1.293675
1516.765363,1.288175
1519.929131,1.284530
1523.088482,1.282082
1526.243418,1.281458
1529.393939,1.279601
1532.540044,1.277501
1535.681733,1.276181
1538.819006,1.275709
1541.951864,1.277841
1546.122138,1.273811
1549.244693,1.275540
1552.362831,1.275455
1555.476554,1.275656
1558.585862,1.272725
1561.690753,1.272326
1564.791230,1.272047
1567.887290,1.270641
1570.978935,1.271301
1574.066163,1.271053
1577.148977,1.267341
1581.252526,1.266461
1584.325036,1.262081
1587.393130,1.260080
1590.456809,1.253999
1593.516072,1.251543
1596.570919,1.247791
1599.621351,1.240881
1602.667367,1.233671
1605.708967,1.228715
1608.746152,1.223293
1612.788862,1.216438
1615.815744,1.208253
1618.838209,1.201376
1621.856260,1.202751
1624.869894,1.195788
1627.879113,1.190344
1630.883915,1.184279
1633.884303,1.179146
1636.880274,1.172999
1639.871830,1.168101
1642.858971,1.162242
1646.834956,1.152661
1649.811793,1.146259
1652.784214,1.139258
1655.752220,1.130093
1658.715810,1.119298
1661.674984,1.099871
1664.629742,1.079468
1667.580085,1.051135
1670.526013,1.014114
1673.467524,0.976025
1677.382671,0.925839
1680.313879,0.900215
1683.240672,0.879169
1686.163049,0.865972
1689.081010,0.862945
1691.994556,0.866076
1694.903686,0.874288
1697.808400,0.879640
1700.708699,0.882762
