Wavelength (nm),Sample Signal (unitless)
901.663021,14990.000000
905.592173,16229.000000
909.516909,17383.000000
913.437229,19177.000000
917.353134,20812.000000
921.264622,22833.000000
925.171696,25493.000000
929.074353,27864.000000
932.972595,30675.000000
938.163382,34394.000000
942.051321,37048.000000
945.934844,39927.000000
949.813951,42481.000000
953.688643,44759.000000
957.558919,47270.000000
961.424779,49288.000000
965.286223,51113.000000
969.143252,52583.000000
972.995866,53811.000000
978.125814,55061.000000
981.968124,55771.000000
985.806019,56323.000000
989.639497,56591.000000
993.468560,56698.000000
997.293207,56374.000000
1001.113439,56265.000000
1004.929255,56255.000000
1008.740655,56016.000000
1012.547640,55888.000000
1016.350208,55910.000000
1021.413431,56044.000000
1025.205697,55926.000000
1028.993547,56337.000000
1032.776981,56652.000000
1036.556000,57060.000000
1040.330603,57378.000000
1044.100790,57640.000000
1047.866561,58214.000000
1051.627917,58635.000000
1055.384857,59204.000000
1060.387242,59417.000000
1064.133879,59920.000000
1067.876100,60211.000000
1071.613906,60581.000000
1075.347296,61053.000000
1079.076270,61300.000000
1082.800829,61589.000000
1086.520972,61795.000000
1090.236699,62088.000000
1093.948010,62275.000000
1097.654906,62619.000000
1102.590565,62635.000000
1106.287158,62657.000000
1109.979334,63141.000000
1113.667096,63158.000000
1117.350441,63250.000000
1121.029371,63176.000000
1124.703885,63139.000000
1128.373984,63058.000000
1132.039667,62832.000000
1135.700934,62663.000000
1140.575755,62176.000000
1144.226718,61871.000000
1147.873267,61674.000000
1151.515399,61175.000000
1155.153116,60882.000000
1158.786417,60473.000000
1162.415303,60036.000000
1166.039773,60143.000000
1169.659827,59861.000000
1173.275465,59903.000000
1176.886688,60104.000000
1181.694783,60114.000000
1185.295703,60508.000000
1188.892206,60778.000000
1192.484295,61171.000000
1196.071967,61808.000000
1199.655224,62298.000000
1203.234065,63079.000000
1206.808491,63919.000000
1210.378500,64775.000000
1213.944094,65877.000000
1218.691351,67356.000000
1222.246642,68839.000000
1225.797517,69896.000000
1229.343977,71207.000000
1232.886021,72342.000000
1236.423649,73603.000000
1239.956861,74726.000000
1243.485658,75732.000000
1247.010039,76773.000000
1250.530005,77865.000000
1254.045554,78543.000000
1258.726085,79549.000000
1262.231332,80449.000000
1265.732163,81247.000000
1269.228578,81859.000000
1272.720577,82920.000000
1276.208161,83614.000000
1279.691329,84293.000000
1283.170082,85216.000000
1286.644418,86123.000000
1290.114340,86640.000000
1294.734032,87066.000000
1298.193650,87448.000000
1301.648852,87699.000000
1305.099639,87881.000000
1308.546010,87862.000000
1311.987965,87434.000000
1315.425504,87407.000000
1318.858628,87056.000000
1322.287336,86570.000000
1325.711628,85955.000000
1329.131505,85099.000000
1333.684472,83936.000000
1337.094045,82749.000000
1340.499203,81510.000000
1343.899945,80201.000000
1347.296272,78505.000000
1350.688183,76782.000000
1354.075678,75088.000000
1357.458757,73650.000000
1360.837421,72272.000000
1364.211669,71112.000000
1367.581501,70386.000000
1372.067742,68894.000000
1375.427272,67809.000000
1378.782385,66413.000000
1382.133083,64664.000000
1385.479365,62702.000000
1388.821231,60530.000000
1392.158682,58603.000000
1395.491717,56236.000000
1398.820337,53644.000000
1402.144540,51352.000000
1406.569943,47399.000000
1409.883843,44714.000000
1413.193328,41870.000000
1416.498397,39313.000000
1419.799051,37075.000000
1423.095289,34950.000000
1426.387111,33244.000000
1429.674517,31829.000000
1432.957508,30594.000000
1436.236083,29633.000000
1439.510242,28840.000000
1443.868919,28104.000000
1447.132775,27741.000000
1450.392216,27162.000000
1453.647240,26911.000000
1456.897849,26421.000000
1460.144043,26402.000000
1463.385821,25927.000000
1466.623183,25888.000000
1469.856129,25810.000000
1473.084660,25578.000000
1477.382498,25269.000000
1480.600726,25317.000000
1483.814538,25247.000000
1487.023934,25174.000000
1490.228914,24983.000000
1493.429479,25041.000000
1496.625628,25186.000000
1499.817361,25228.000000
1503.004679,25266.000000
1506.187581,25233.000000
1509.366067,25258.000000
1513.597180,24960.000000
1516.765363,25055.000000
1519.929131,25097.000000
1523.088482,25042.000000
1526.243418,25139.000000
1529.393939,24805.000000
1532.540044,24474.000000
1535.681733,24405.000000
1538.819006,24235.000000
1541.951864,23901.000000
1546.122138,23585.000000
1549.244693,23153.000000
1552.362831,22937.000000
1555.476554,22350.000000
1558.585862,22176.000000
1561.690753,21652.000000
1564.791230,21397.000000
1567.887290,20891.000000
1570.978935,20628.000000
1574.066163,20540.000000
1577.148977,20143.000000
1581.252526,19856.000000
1584.325036,19556.000000
1587.393130,19498.000000
1590.456809,19370.000000
1593.516072,18852.000000
1596.570919,18921.000000
1599.621351,18633.000000
1602.667367,18459.000000
1605.708967,18417.000000
1608.746152,18181.000000
1612.788862,17903.000000
1615.815744,17615.000000
1618.838209,17454.000000
1621.856260,17246.000000
1624.869894,17058.000000
1627.879113,16575.000000
1630.883915,16522.000000
1633.884303,16268.000000
1636.880274,16246.000000
1639.871830,15752.000000
1642.858971,15604.000000
1646.834956,15320.000000
1649.811793,15068.000000
1652.784214,14730.000000
1655.752220,14263.000000
1658.715810,14006.000000
1661.674984,13629.000000
1664.629742,13261.000000
1667.580085,12717.000000
1670.526013,12452.000000
1673.467524,11700.000000
1677.382671,10845.000000
1680.313879,10012.000000
1683.240672,8935.000000
1686.163049,7906.000000
1689.081010,6845.000000
1691.994556,5843.000000
1694.903686,5158.000000
1697.808400,4441.000000
1700.708699,3742.000000
